,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,1200,0.0,0,849.2,15,939.8,9,0.0,0,639.2,15,836.8,8,0.0,0,0.0,0
2,1800,1437.9,8,981.2,29,1043.7,22,1512.0,3,639.2,10,1028.9,18,0.0,0,1543.0,1
3,2400,1657.9,14,1001.6,22,1129.1,24,1653.9,7,625.6,11,1111.9,14,1921.7,1,1401.5,2
4,3000,1725.8,9,1091.0,28,1119.0,24,1950.5,3,653.7,8,1264.1,12,1850.9,3,0.0,0
5,3600,1785.9,17,1273.2,26,1108.7,29,1976.0,10,610.3,11,1329.9,20,1755.1,1,1839.2,3
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
