,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,120,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2,180,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
3,240,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
4,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,360,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,420,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
7,480,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8,540,0.0,0,0.0,0,0.0,0,0.0,0,524.6,1,0.0,0,0.0,0,0.0,0
9,600,0.0,0,0.0,0,0.0,0,0.0,0,529.1,1,550.9,4,0.0,0,0.0,0
10,660,0.0,0,629.5,2,0.0,0,0.0,0,548.2,3,0.0,0,0.0,0,0.0,0
11,720,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
12,780,0.0,0,679.6,4,0.0,0,0.0,0,618.7,4,690.5,1,0.0,0,0.0,0
13,840,0.0,0,740.1,1,0.0,0,0.0,0,573.2,1,0.0,0,0.0,0,0.0,0
14,900,0.0,0,0.0,0,723.2,1,0.0,0,528.9,4,701.2,5,0.0,0,0.0,0
15,960,0.0,0,797.7,11,875.6,4,0.0,0,516.7,2,760.4,1,0.0,0,0.0,0
16,1020,0.0,0,0.0,0,917.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
17,1080,0.0,0,0.0,0,997.9,1,0.0,0,601.4,3,0.0,0,0.0,0,0.0,0
18,1140,0.0,0,920.5,4,1011.5,1,0.0,0,544.6,3,837.9,8,0.0,0,0.0,0
19,1200,0.0,0,895.6,4,0.0,0,1191.0,1,547.6,3,810.7,1,0.0,0,1189.7,1
20,1260,0.0,0,0.0,0,1009.9,5,0.0,0,474.1,1,0.0,0,0.0,0,0.0,0
21,1320,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
22,1380,0.0,0,973.3,10,1157.9,2,0.0,0,453.8,2,991.5,2,0.0,0,0.0,0
23,1440,0.0,0,0.0,0,0.0,0,0.0,0,523.3,1,959.5,2,0.0,0,0.0,0
24,1500,1472.7,1,0.0,0,1284.7,3,1371.7,1,547.4,3,0.0,0,1468.6,1,0.0,0
25,1560,0.0,0,1093.0,4,0.0,0,0.0,0,583.0,4,1051.1,4,0.0,0,0.0,0
26,1620,1469.0,1,0.0,0,1301.0,7,1540.0,1,0.0,0,0.0,0,0.0,0,0.0,0
27,1680,1469.4,1,0.0,0,0.0,0,1406.3,2,615.5,3,1072.2,1,0.0,0,1265.2,1
