,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,0.0,0,0.0,0,0.0,0,507.2,5,0.0,0,0.0,0,0.0,0
1,1200,1080.4,1,704.7,26,897.0,12,0.0,0,548.8,14,784.0,14,0.0,0,0.0,0
2,1800,1340.0,11,899.3,24,1050.7,22,1420.7,5,555.4,17,1001.3,17,1630.7,1,1358.7,2
3,2400,1618.4,18,1083.8,41,1176.5,42,1656.5,7,543.5,18,1265.7,15,1466.6,2,1587.5,1
4,3000,1771.6,18,1096.9,26,1203.8,32,1823.1,6,553.8,16,1399.5,15,1445.0,2,1777.5,1
5,3600,1854.1,23,1472.6,15,1218.4,35,2092.8,12,585.7,9,1605.4,21,1445.5,1,2141.5,1
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
