,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,542.7,4,0.0,0,0.0,0,583.1,1,507.6,3,0.0,0,0.0,0
1,1200,1093.7,1,615.5,29,811.9,17,1064.4,2,574.1,12,565.0,16,0.0,0,1102.3,1
2,1800,1112.0,23,654.9,27,860.9,17,1170.0,8,559.4,6,634.9,19,1327.5,2,1307.1,1
3,2400,1190.4,11,699.9,32,872.3,31,1187.7,7,599.4,18,681.5,15,1262.8,1,1100.7,2
4,3000,1257.0,20,747.2,27,886.3,30,1217.1,9,583.7,7,686.0,20,1332.3,2,1084.4,1
5,3600,1304.5,22,775.4,21,864.4,25,1234.6,12,604.6,11,694.6,19,1325.4,2,1216.8,3
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
