,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,560.0,1,0.0,0,0.0,0,551.4,2,458.8,5,0.0,0,0.0,0
1,1200,0.0,0,721.0,26,942.1,15,0.0,0,608.4,15,566.2,20,0.0,0,0.0,0
2,1800,1265.5,19,837.7,24,919.6,23,1184.3,9,609.2,9,639.1,17,1502.6,1,1416.7,1
3,2400,1414.9,15,1002.7,33,965.5,34,1286.8,10,640.1,16,762.6,18,1480.5,2,1291.8,3
4,3000,1610.9,15,1051.7,28,989.1,26,1327.4,9,628.1,9,820.0,19,1466.7,2,1254.6,1
5,3600,1772.4,26,1180.9,21,1060.6,27,1349.3,14,601.9,15,835.4,30,1458.5,1,1233.3,3
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
