,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,579.4,1,0.0,0,0.0,0,556.6,3,0.0,0,0.0,0,0.0,0
1,1200,1133.6,1,593.7,24,809.2,17,1041.7,2,562.4,11,597.2,14,0.0,0,1093.5,1
2,1800,1052.7,22,568.2,25,788.7,12,1138.3,5,575.0,8,618.7,18,1619.7,1,1209.4,1
3,2400,1065.2,14,588.8,25,811.2,25,1080.6,9,557.7,9,579.9,11,1432.2,2,1049.9,3
4,3000,1095.2,13,600.5,25,855.7,19,1175.7,5,591.5,11,606.2,22,1484.2,2,1132.8,1
5,3600,1101.6,16,627.3,17,849.0,27,1120.1,12,590.4,10,587.4,14,1360.1,1,1108.7,2
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
