,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,143.0,127.0,4.00,1,143.0,1,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,133.9,93.7,5.00,1,133.9,1,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,317.7,247.3,9.00,1,317.7,1,149.7,102.1,7.05,20,149.7,20,282.3,228.5,7.56,9,282.3,9,206.8,148.8,6.50,2,222.2,1,146.8,116.1,5.00,10,146.8,10,207.5,161.3,6.08,12,207.5,12,317.7,247.3,9.00,1,317.7,1,206.8,148.8,6.50,2,222.2,1
2,1800,295.6,214.7,10.44,16,401.8,40,232.2,171.4,8.05,21,232.2,21,223.2,179.5,6.00,14,223.2,14,331.9,251.6,9.40,5,319.6,4,156.0,121.3,5.43,7,156.0,7,214.6,158.3,5.69,13,214.6,13,295.6,214.7,10.44,16,401.8,40,331.9,251.6,9.40,5,319.6,4
3,2400,331.2,219.3,11.77,13,411.7,61,171.1,112.3,8.00,23,171.1,23,247.3,196.8,6.57,14,247.3,14,339.7,254.1,9.50,6,355.2,4,171.3,135.9,4.60,5,171.3,5,209.8,156.7,6.67,9,209.8,9,331.1,219.3,11.77,13,411.7,61,339.7,254.1,9.50,6,355.2,4
4,3000,307.9,215.4,9.14,14,448.7,62,200.3,146.1,8.06,18,200.3,18,216.2,162.9,6.13,24,216.2,24,306.3,225.3,7.50,6,334.8,4,157.9,123.4,5.13,8,157.9,8,218.3,158.4,6.08,12,218.3,12,307.9,215.4,9.14,14,448.7,62,306.3,225.3,7.50,6,334.8,4
5,3600,370.0,272.6,9.40,5,387.2,29,197.4,142.5,8.26,19,197.4,19,302.6,243.0,7.89,9,302.6,9,270.4,183.9,8.00,4,347.0,2,148.6,112.5,5.13,8,148.6,8,218.6,149.4,7.56,9,218.6,9,370.0,272.6,9.40,5,387.2,29,270.4,183.9,8.00,4,347.0,2
6,Total,316.6,222.7,10.29,49,417.4,193,189.3,134.2,7.84,102,189.3,102,243.4,191.7,6.60,70,243.4,70,305.7,224.7,8.43,23,330.3,15,154.4,120.4,5.08,38,154.4,38,212.3,156.1,6.30,56,212.3,56,316.6,222.7,10.29,49,417.4,193,305.7,224.7,8.43,23,330.3,15
