,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,45.5,37.6,2.00,1,45.5,1,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,0.0,0.0,0.00,0,0.0,0,203.9,150.7,7.22,27,203.9,27,224.4,161.2,7.27,15,224.4,15,276.3,181.8,7.00,2,224.6,1,114.5,89.3,3.31,13,114.5,13,174.9,119.4,6.89,18,174.9,18,0.0,0.0,0.00,0,0.0,0,276.3,181.8,7.00,2,224.6,1
2,1800,423.1,322.5,12.68,22,483.2,46,268.0,193.6,8.81,31,268.0,31,272.5,210.2,7.84,19,272.5,19,374.4,253.5,11.80,5,392.2,4,161.4,135.7,3.40,10,161.4,10,278.3,217.2,9.13,16,278.3,16,422.8,322.4,12.64,22,483.1,46,374.4,253.5,11.80,5,392.2,4
3,2400,478.5,367.3,13.15,13,500.1,61,345.9,253.9,15.03,38,345.9,38,360.8,286.8,10.74,23,360.8,23,460.2,332.0,21.60,10,510.9,8,144.7,114.6,4.45,20,144.7,20,407.7,294.5,21.27,15,407.7,15,478.5,367.3,13.15,13,500.1,61,460.2,332.0,21.60,10,510.9,8
4,3000,611.8,468.8,21.06,16,580.6,64,348.9,255.4,14.96,26,348.9,26,403.8,322.7,12.56,25,403.8,25,491.7,359.0,23.38,8,552.5,6,143.4,109.5,3.78,9,143.4,9,448.1,325.6,29.84,19,448.1,19,611.8,468.8,21.06,16,580.6,64,491.7,359.0,23.38,8,552.5,6
5,3600,642.9,500.2,24.88,25,608.6,49,487.8,371.9,19.08,24,487.8,24,436.7,353.0,14.87,30,436.7,30,561.9,415.3,27.30,10,594.6,9,138.6,113.4,3.18,11,138.6,11,531.6,416.3,23.12,17,531.6,17,642.8,500.2,24.88,25,608.5,49,561.9,415.3,27.30,10,594.6,9
6,Total,544.6,419.4,18.54,76,544.1,220,326.9,241.7,12.92,146,326.9,146,357.5,282.7,11.29,112,357.5,112,473.7,342.2,21.40,35,519.5,28,138.4,110.6,3.70,64,138.4,64,367.8,274.2,18.22,85,367.8,85,544.5,419.4,18.53,76,544.1,220,473.7,342.2,21.40,35,519.5,28
