,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,170.4,116.8,9.00,2,170.4,2,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,122.3,92.8,3.67,3,122.3,3,130.6,70.7,6.00,1,130.6,1,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,459.1,312.7,15.00,1,459.1,1,317.8,225.0,13.90,29,317.8,29,283.4,196.9,12.40,20,283.4,20,306.7,222.9,7.00,1,0.0,0,145.2,107.1,5.50,14,145.2,14,387.5,262.5,27.57,14,387.5,14,459.1,312.7,15.00,1,459.1,1,306.7,222.9,7.00,1,0.0,0
2,1800,529.1,364.2,21.45,22,446.1,70,470.7,325.9,27.23,31,470.7,31,344.9,248.1,12.07,27,344.9,27,618.4,402.2,53.50,6,685.1,5,123.2,86.6,5.57,14,123.2,14,602.5,398.6,54.58,12,602.5,12,528.9,364.2,21.45,22,446.0,70,618.4,402.2,53.50,6,685.1,5
3,2400,685.6,488.4,30.93,15,416.0,39,569.8,358.0,49.71,24,569.8,24,439.1,328.1,16.16,31,439.1,31,795.9,531.6,64.20,5,785.3,4,246.6,191.7,9.56,9,246.6,9,806.0,492.1,101.33,18,806.0,18,685.0,488.3,30.73,15,415.7,39,795.9,531.6,64.20,5,785.3,4
4,3000,803.6,526.5,62.00,16,565.5,64,796.5,528.7,82.00,19,796.5,19,503.9,385.2,19.00,33,503.9,33,1060.7,706.9,114.75,8,1107.9,7,523.0,424.2,34.20,10,523.0,10,980.4,630.9,129.43,21,980.4,21,799.4,524.0,61.38,16,564.5,64,1060.7,706.9,114.75,8,1107.9,7
5,3600,1007.1,670.5,88.07,27,707.1,51,981.2,681.0,97.78,32,981.2,32,550.1,412.8,23.43,40,550.1,40,1266.4,812.9,148.00,14,1337.8,12,719.0,586.9,56.30,10,719.0,10,1124.7,682.8,175.45,22,1124.7,22,1005.1,670.1,87.26,27,706.1,51,1266.4,812.9,148.00,14,1337.8,12
6,Total,770.8,520.7,53.35,81,534.1,225,615.7,418.2,52.15,137,615.7,137,445.2,331.3,17.48,151,445.2,151,1006.2,656.8,107.03,34,1084.8,28,312.7,247.1,19.28,60,312.7,60,825.3,518.8,107.38,88,825.3,88,769.1,520.1,52.91,81,533.5,225,1006.2,656.8,107.03,34,1084.8,28
