,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,90.7,77.5,1.00,1,90.7,1,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,0.0,0.0,0.00,0,0.0,0,252.7,197.6,6.19,31,252.7,31,276.6,224.8,6.93,14,276.6,14,223.5,146.8,5.00,1,0.0,0,97.1,75.1,3.69,13,97.1,13,211.6,166.2,5.45,11,211.6,11,0.0,0.0,0.00,0,0.0,0,223.5,146.8,5.00,1,0.0,0
2,1800,427.4,318.6,11.90,20,402.5,68,266.4,191.6,8.24,29,266.4,29,330.6,264.3,10.06,17,330.6,17,403.1,264.5,14.83,6,516.8,4,99.1,79.3,2.29,7,99.1,7,345.7,256.3,14.17,23,345.7,23,427.4,318.6,11.90,20,402.5,68,403.1,264.5,14.83,6,516.8,4
3,2400,521.2,402.2,15.71,17,425.5,65,317.3,232.6,11.54,37,317.3,37,359.0,276.9,11.11,28,359.0,28,515.8,392.6,23.50,8,555.8,7,99.5,73.1,3.19,16,99.5,16,431.3,320.0,18.58,12,431.3,12,521.2,402.2,15.71,17,425.5,65,515.8,392.6,23.50,8,555.8,7
4,3000,508.8,377.2,16.77,22,432.0,46,305.5,215.7,12.77,35,305.5,35,365.8,290.1,9.44,36,365.8,36,562.6,397.5,40.67,6,704.8,4,145.4,115.0,3.82,11,145.4,11,528.2,366.0,47.26,19,528.2,19,508.7,377.2,16.77,22,432.0,46,562.6,397.5,40.67,6,704.8,4
5,3600,471.5,340.7,18.30,33,429.5,57,263.6,202.7,8.52,23,263.6,23,326.5,256.4,9.33,21,326.5,21,666.6,463.3,59.91,11,698.5,10,108.9,83.2,3.71,14,108.9,14,565.1,370.8,64.00,16,565.1,16,471.4,340.7,18.30,33,429.5,57,666.6,463.3,59.91,11,698.5,10
6,Total,480.0,356.0,16.07,92,421.1,236,284.2,209.7,9.68,155,284.2,155,341.1,269.2,9.61,116,341.1,116,546.2,386.1,37.03,32,630.5,25,109.1,84.0,3.39,62,109.1,62,426.3,301.8,31.25,81,426.3,81,480.0,356.0,16.07,92,421.1,236,546.2,386.1,37.03,32,630.5,25
