,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,26.1,3.3,1.00,1,26.1,1,82.7,66.0,2.00,1,82.7,1,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,0.0,0.0,0.00,0,0.0,0,362.2,282.5,11.29,21,362.2,21,320.2,244.6,11.19,16,320.2,16,0.0,0.0,0.00,0,0.0,0,196.0,150.0,5.29,14,196.0,14,373.8,266.3,20.00,10,373.8,10,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
2,1800,618.3,449.0,24.14,7,457.5,31,556.7,413.4,27.54,13,556.7,13,474.6,381.0,15.77,22,474.6,22,772.0,584.6,35.00,1,0.0,0,194.2,141.0,7.20,20,194.2,20,591.3,415.7,49.23,22,591.3,22,618.3,449.0,24.14,7,457.5,31,772.0,584.6,35.00,1,0.0,0
3,2400,927.5,722.8,39.91,11,549.4,59,1196.5,958.7,56.29,7,1196.5,7,779.2,629.7,36.38,16,779.2,16,882.0,597.1,80.55,11,927.0,9,272.8,212.0,9.24,17,272.8,17,792.0,531.0,87.35,17,792.0,17,927.2,722.8,39.91,11,549.4,59,882.0,597.1,80.55,11,927.0,9
4,3000,1476.9,1194.5,64.11,9,748.3,33,1494.2,1180.1,108.29,28,1494.2,28,1135.4,955.8,46.73,26,1135.4,26,1124.0,735.6,132.44,9,1124.0,9,301.8,227.3,13.20,15,301.8,15,1015.9,652.6,135.57,23,1015.9,23,1476.1,1194.4,63.78,9,748.0,33,1124.0,735.6,132.44,9,1124.0,9
5,3600,1804.9,1462.3,83.29,7,922.3,31,1630.5,1252.3,151.39,31,1630.5,31,1537.5,1270.3,68.50,8,1537.5,8,1229.9,799.3,130.45,11,1231.3,8,258.7,203.0,9.53,15,258.7,15,1220.4,786.9,176.71,21,1220.4,21,1804.0,1462.3,83.14,7,922.1,31,1229.8,799.3,130.45,11,1231.2,8
6,Total,1189.9,943.6,52.00,34,648.6,154,1156.0,898.8,87.14,100,1156.0,100,793.8,652.1,32.63,88,793.8,88,1066.2,705.2,110.88,32,1088.8,26,240.3,182.7,8.74,82,240.3,82,843.5,557.8,102.12,94,843.5,94,1189.4,943.5,51.88,34,648.5,154,1066.2,705.2,110.88,32,1088.8,26
