,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,120,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2,180,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
3,240,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
4,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,360,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,420,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
7,480,0.0,0,422.7,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8,540,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
9,600,0.0,0,567.3,1,0.0,0,0.0,0,564.3,2,0.0,0,0.0,0,0.0,0
10,660,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,598.2,2,0.0,0,0.0,0
11,720,0.0,0,639.1,2,659.7,1,0.0,0,0.0,0,580.1,4,0.0,0,0.0,0
12,780,0.0,0,0.0,0,0.0,0,0.0,0,594.4,3,0.0,0,0.0,0,0.0,0
13,840,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,563.0,3,0.0,0,0.0,0
14,900,0.0,0,690.4,7,0.0,0,0.0,0,624.0,3,0.0,0,0.0,0,0.0,0
15,960,0.0,0,0.0,0,849.6,3,0.0,0,0.0,0,579.6,2,0.0,0,0.0,0
16,1020,0.0,0,704.9,7,808.7,4,0.0,0,571.0,3,0.0,0,0.0,0,0.0,0
17,1080,0.0,0,0.0,0,0.0,0,1064.4,1,0.0,0,751.4,1,0.0,0,1063.3,1
18,1140,0.0,0,791.1,2,875.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
19,1200,0.0,0,749.1,6,0.0,0,0.0,0,633.7,5,759.5,5,0.0,0,0.0,0
20,1260,1240.8,1,0.0,0,964.5,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
21,1320,0.0,0,781.6,5,782.8,1,0.0,0,615.9,2,0.0,0,0.0,0,0.0,0
22,1380,1192.5,1,0.0,0,901.7,2,1207.5,2,0.0,0,757.7,4,0.0,0,0.0,0
23,1440,1281.4,1,749.1,10,891.6,1,0.0,0,542.2,2,0.0,0,0.0,0,0.0,0
24,1500,0.0,0,0.0,0,0.0,0,1230.5,2,0.0,0,808.3,4,0.0,0,1124.9,1
25,1560,1244.7,7,783.9,4,939.0,3,0.0,0,0.0,0,811.6,1,0.0,0,0.0,0
26,1620,0.0,0,760.6,1,0.0,0,0.0,0,649.1,3,840.4,1,0.0,0,0.0,0
27,1680,1265.3,6,0.0,0,950.4,4,0.0,0,0.0,0,811.5,4,1647.3,1,0.0,0
28,1740,0.0,0,808.0,4,869.7,1,0.0,0,587.0,1,0.0,0,0.0,0,0.0,0
