,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,521.8,1,0.0,0,0.0,0,0.0,0,494.3,1,0.0,0,0.0,0
1,1200,1080.8,1,525.0,20,849.8,9,992.5,2,503.0,10,571.4,12,0.0,0,1015.4,1
2,1800,1031.8,15,604.4,19,797.1,14,1067.0,5,529.2,7,562.1,13,1447.5,1,1229.0,1
3,2400,1047.3,11,538.3,21,830.8,14,1050.1,6,544.9,5,573.3,9,1393.4,2,1074.8,2
4,3000,1064.8,10,579.1,18,795.6,24,1044.2,6,515.9,8,581.1,12,1426.8,2,1028.2,2
5,3600,1139.8,4,568.4,19,876.7,9,989.1,4,512.7,8,573.7,9,1335.5,1,979.7,2
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
