,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,381.2,301.3,10.00,1,381.2,1,453.0,365.5,14.06,18,453.0,18,270.3,202.8,6.73,15,270.3,15,0.0,0.0,0.00,0,0.0,0,363.0,301.4,9.73,11,363.0,11,329.8,230.4,12.85,13,329.8,13,381.2,301.3,10.00,1,381.2,1,0.0,0.0,0.00,0,0.0,0
2,1800,595.8,458.1,17.56,9,661.8,33,638.1,536.1,17.93,14,638.1,14,329.3,245.6,10.69,16,329.3,16,640.5,489.7,22.25,4,913.9,2,295.7,246.7,6.71,7,295.7,7,534.3,392.3,23.61,18,534.3,18,595.7,458.1,17.56,9,661.8,33,640.4,489.7,22.25,4,913.8,2
3,2400,767.8,602.1,21.65,20,615.6,68,774.6,607.0,36.05,22,774.6,22,358.2,257.4,11.56,32,358.2,32,876.1,662.4,36.86,7,974.9,6,331.1,270.8,9.36,11,331.1,11,675.1,507.8,32.50,10,675.1,10,767.8,602.1,21.65,20,615.6,68,876.1,662.4,36.86,7,974.9,6
4,3000,880.3,657.6,40.75,12,511.1,60,947.8,712.3,70.82,34,947.8,34,373.1,285.7,10.32,28,373.1,28,1007.0,750.7,58.71,7,1007.0,7,345.2,284.6,9.27,11,345.2,11,761.5,562.7,46.23,22,761.5,22,880.2,657.6,40.75,12,511.0,60,1007.0,750.7,58.71,7,1007.0,7
5,3600,1116.0,828.4,73.71,17,704.4,41,956.2,694.2,84.50,26,956.2,26,387.9,300.9,11.00,23,387.9,23,933.2,671.4,51.33,9,1026.7,6,362.7,294.0,12.14,7,362.7,7,789.2,578.7,46.81,16,789.2,16,1115.9,828.4,73.71,17,704.3,41,933.2,671.4,51.33,9,1026.7,6
6,Total,858.3,651.5,39.71,59,609.0,203,800.2,611.4,51.77,114,800.2,114,352.3,264.3,10.39,114,352.3,114,894.1,662.7,45.19,27,994.6,21,341.3,281.1,9.45,47,341.3,47,633.4,465.5,33.96,79,633.4,79,858.2,651.5,39.71,59,609.0,203,894.1,662.7,45.19,27,994.6,21
