,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,0.0,0.0,0.00,0,0.0,0,290.4,215.7,11.72,25,290.4,25,235.2,168.8,6.93,14,235.2,14,0.0,0.0,0.00,0,0.0,0,224.9,191.2,5.21,14,224.9,14,289.3,225.6,8.54,13,289.3,13,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
2,1800,424.0,295.6,15.79,14,418.4,38,358.2,253.6,16.42,24,358.2,24,247.6,173.3,6.55,20,247.6,20,636.9,482.9,16.40,5,801.3,3,196.1,162.2,5.50,8,196.1,8,494.4,391.2,18.08,13,494.4,13,423.8,295.5,15.71,14,418.3,38,636.9,482.9,16.40,5,801.3,3
3,2400,549.0,398.1,18.22,18,482.5,66,537.3,368.1,46.27,30,537.3,30,306.2,233.6,7.65,26,306.2,26,836.3,649.0,37.75,4,905.4,3,213.3,171.0,6.46,13,213.3,13,695.5,553.6,34.46,13,695.5,13,548.9,398.1,18.22,18,482.4,66,836.3,649.0,37.75,4,905.4,3
4,3000,750.4,536.7,44.27,11,574.6,35,624.8,439.1,60.40,25,624.8,25,312.9,244.7,9.76,25,312.9,25,975.8,737.1,72.83,6,975.8,6,212.3,177.2,5.55,11,212.3,11,747.0,520.7,69.73,15,747.0,15,750.3,536.7,44.27,11,574.6,35,975.8,737.1,72.83,6,975.8,6
5,3600,762.9,541.8,60.00,23,596.9,71,748.5,525.2,76.86,29,748.5,29,325.2,251.1,9.14,29,325.2,29,1057.2,803.5,70.25,8,1048.0,6,246.9,212.3,6.55,11,246.9,11,845.3,617.8,79.10,20,845.3,20,762.8,541.8,60.00,23,596.6,71,1057.2,803.5,70.25,8,1048.0,6
6,Total,630.6,449.5,36.61,66,524.9,210,521.1,366.4,43.71,133,521.1,133,293.5,222.0,8.21,114,293.5,114,906.2,689.6,53.57,23,959.1,18,220.0,183.9,5.86,57,220.0,57,639.7,478.1,46.24,74,639.7,74,630.4,449.5,36.59,66,524.8,210,906.2,689.6,53.57,23,959.1,18
