,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,127.5,84.6,5.00,3,127.5,3,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,93.0,76.9,2.50,2,93.0,2,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,272.5,186.0,12.00,1,272.5,1,215.2,154.3,8.00,29,215.2,29,205.1,150.5,7.29,14,205.1,14,255.9,197.2,4.00,1,0.0,0,122.9,101.6,3.23,13,122.9,13,179.9,118.8,7.69,13,179.9,13,272.5,186.0,12.00,1,272.5,1,255.9,197.2,4.00,1,0.0,0
2,1800,378.2,278.5,11.04,26,442.4,50,246.6,176.9,8.55,38,246.6,38,236.6,179.3,6.53,19,236.6,19,373.2,255.6,13.33,6,455.6,4,133.4,113.5,3.33,6,133.4,6,346.1,261.7,15.20,20,346.1,20,378.1,278.5,11.04,26,442.4,50,373.1,255.6,13.33,6,455.6,4
3,2400,429.9,310.4,10.00,10,549.6,58,284.8,192.0,13.20,30,284.8,30,282.7,215.8,8.39,28,282.7,28,504.1,386.0,22.14,7,545.0,6,169.3,138.6,4.67,15,169.3,15,383.7,297.0,19.67,9,383.7,9,429.9,310.4,10.00,10,549.6,58,504.1,386.0,22.14,7,545.0,6
4,3000,491.2,359.7,18.10,20,566.1,44,347.9,239.3,18.20,30,347.9,30,326.9,254.8,9.41,29,326.9,29,568.5,405.9,40.60,5,646.8,4,114.0,83.9,3.89,9,114.0,9,575.1,411.2,45.05,22,575.1,22,491.2,359.7,18.10,20,566.1,44,568.5,405.9,40.60,5,646.8,4
5,3600,573.7,417.8,23.88,26,541.6,74,385.7,273.4,16.96,23,385.7,23,376.4,295.4,14.40,20,376.4,20,665.7,457.8,52.23,13,782.8,10,91.3,67.8,3.87,15,91.3,15,637.0,429.2,70.71,17,637.0,17,573.7,417.8,23.88,26,541.6,74,665.7,457.8,52.23,13,782.8,10
6,Total,471.6,344.4,16.65,83,525.4,227,286.6,200.5,12.44,153,286.6,153,293.5,226.0,9.29,110,293.5,110,547.5,387.9,35.03,32,646.2,24,125.3,100.1,3.83,60,125.3,60,446.9,318.4,34.25,81,446.9,81,471.6,344.4,16.65,83,525.4,227,547.5,387.9,35.03,32,646.1,24
