speed,LinkName,TQDelay
0.0,ci1,321.17087118227744
0.0,ci10,113.25270427398611
0.0,ci11,89.15794016110472
0.0,ci12,69.12044896527534
0.0,ci13,41.294059285901916
0.0,ci2,100.523248747639
0.0,ci3,230.97009489106506
0.0,ci4,167.86871464552624
0.0,ci5,155.23349688525687
0.0,ci6,71.97167976056865
0.0,ci7,85.9616452698064
0.0,ci8,124.04342196431665
0.0,ci9,115.90967741935485
0.0,co1,75.55232184939962
0.0,co10,192.60406860331528
0.0,co11,161.51937219730942
0.0,co12,404.4742230347349
0.0,co13,221.8352443710274
0.0,co2,261.2646138996139
0.0,co3,359.38823989099507
0.0,co4,389.8649702417102
0.0,co5,128.38195583017253
0.0,co6,286.9784147926766
0.0,co7,271.1723949408405
0.0,co8,257.15958318452067
0.0,co9,239.5580132827662
10.0,ci1,285.3232134152286
10.0,ci10,93.58638743455498
10.0,ci11,70.26421768707483
10.0,ci12,50.03237259816207
10.0,ci13,33.7242178447277
10.0,ci2,215.01859683794467
10.0,ci3,188.09976179499
10.0,ci4,153.43869127516777
10.0,ci5,123.03030556718292
10.0,ci6,79.51991323210412
10.0,ci7,81.60295844094858
10.0,ci8,90.55164769322948
10.0,ci9,99.36998112020139
10.0,co1,64.2684131499921
10.0,co10,211.11488718965356
10.0,co11,293.04374209860936
10.0,co12,354.0446247464503
10.0,co13,246.0370142577579
10.0,co2,258.56798272307844
10.0,co3,359.28654478225144
10.0,co4,343.4287527593819
10.0,co5,244.98654611211575
10.0,co6,290.64838464048734
10.0,co7,261.9427901157335
10.0,co8,238.0249507874016
10.0,co9,167.936995898838
20.0,ci1,252.5413773669973
20.0,ci10,78.68626890069473
20.0,ci11,61.90636197440585
20.0,ci12,46.2553096050707
20.0,ci13,31.755876770331437
20.0,ci2,223.0148395721925
20.0,ci3,160.08530898476434
20.0,ci4,156.0120510095643
20.0,ci5,107.0855690630895
20.0,ci6,85.10344775745428
20.0,ci7,82.154783625731
20.0,ci8,70.1038856573043
20.0,ci9,86.85618473895582
20.0,co1,49.79759481961147
20.0,co10,211.66700044176116
20.0,co11,291.2206570155902
20.0,co12,384.3941138835573
20.0,co13,264.64185142857144
20.0,co2,194.64789600907702
20.0,co3,350.7446210333071
20.0,co4,369.9291655593941
20.0,co5,228.4786799226733
20.0,co6,254.07895080321285
20.0,co7,295.71434440260185
20.0,co8,175.77519733713743
20.0,co9,168.96350261034647
30.0,ci1,190.91764203331908
30.0,ci10,66.37675828907707
30.0,ci11,60.122834145846035
30.0,ci12,54.31976401779005
30.0,ci13,31.261214147821292
30.0,ci2,188.1109413614918
30.0,ci3,144.55205645510432
30.0,ci4,145.11435208348223
30.0,ci5,114.8297945060973
30.0,ci6,91.22018257411425
30.0,ci7,69.34060999039386
30.0,ci8,73.74304876965444
30.0,ci9,74.73213585891574
30.0,co1,46.46521540708287
30.0,co10,179.50489955002425
30.0,co11,218.80388496195974
30.0,co12,198.75297468635011
30.0,co13,242.92013935715894
30.0,co2,143.50360860146878
30.0,co3,328.5243767313019
30.0,co4,218.9803127828623
30.0,co5,210.5988430835679
30.0,co6,196.34906669167995
30.0,co7,235.00827283249157
30.0,co8,153.79583709499448
30.0,co9,191.57795747364628
40.0,ci1,193.5957360536088
40.0,ci10,67.25928143712575
40.0,ci11,67.06975254730713
40.0,ci12,63.21414302836596
40.0,ci13,4.342589166789995
40.0,ci2,76.02929166666667
40.0,ci3,39.147788873038515
40.0,ci4,96.11194244604316
40.0,ci5,125.77315436241611
40.0,ci6,58.500578034682086
40.0,ci7,54.826314673452075
40.0,ci8,55.8514467184192
40.0,ci9,43.06962412587413
40.0,co1,31.65876044253782
40.0,co10,104.86086956521739
40.0,co11,138.24568477174276
40.0,co12,126.70296634341129
40.0,co13,125.23945514325975
40.0,co2,71.24674063800278
40.0,co3,123.55156398104265
40.0,co4,45.15761335438755
40.0,co5,76.4851329787234
40.0,co6,68.22448304383788
40.0,co7,160.27947563559323
40.0,co8,88.87895468445926
40.0,co9,137.7765174129353
50.0,ci1,171.75096501809406
50.0,ci10,113.64444444444445
50.0,ci11,51.63125
50.0,ci12,30.444444444444443
50.0,ci13,0.3846607669616519
50.0,ci2,65.64545454545454
50.0,ci6,21.3
50.0,ci7,90.14857142857143
50.0,ci8,97.52
50.0,ci9,79.19999999999999
50.0,co1,20.49285714285714
50.0,co11,123.25000000000001
50.0,co13,72.76486486486488
50.0,co3,0.39999999999999997
50.0,co4,13.838095238095237
50.0,co5,3.6999999999999997
50.0,co6,0.6999999999999998
50.0,co7,44.93333333333334
50.0,co8,37.108000000000004
50.0,co9,84.39999999999999
