,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,0.0,0,0.0,0,0.0,0,465.4,3,0.0,0,0.0,0,0.0,0
1,1200,1063.3,1,653.3,10,796.4,8,968.4,1,460.9,4,592.6,8,0.0,0,967.3,1
2,1800,1032.6,7,620.0,18,757.2,13,1029.1,4,481.9,4,638.8,6,1434.7,1,926.1,2
3,2400,1132.7,11,667.7,9,802.4,3,1044.4,5,501.7,5,642.8,9,1486.4,2,951.4,2
4,3000,1128.0,7,616.4,15,836.9,10,1092.2,4,521.9,4,659.4,5,1407.7,2,908.3,1
5,3600,1078.0,7,655.4,13,788.5,13,1065.3,5,485.0,2,603.2,7,1398.1,2,1031.6,2
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
