,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,100.4,71.7,4.80,5,100.4,5,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,85.2,66.9,3.50,2,85.2,2,53.2,32.8,3.50,2,53.2,2,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,236.4,170.7,8.00,1,236.4,1,128.8,88.0,4.93,29,128.8,29,179.4,129.0,6.06,17,179.4,17,251.9,178.0,6.00,1,0.0,0,97.2,74.8,3.58,12,97.2,12,192.6,134.5,8.63,16,192.6,16,236.4,170.7,8.00,1,236.4,1,251.9,178.0,6.00,1,0.0,0
2,1800,293.2,216.1,8.19,26,347.8,50,195.0,138.1,7.46,39,195.0,39,192.6,142.3,5.56,16,192.6,16,379.1,253.5,18.88,8,396.6,7,78.6,56.4,2.88,8,78.6,8,272.0,187.5,17.17,18,272.0,18,293.1,216.1,8.19,26,347.7,50,379.1,253.5,18.88,8,396.6,7
3,2400,345.2,240.5,11.00,10,301.6,58,181.5,123.2,9.00,28,181.5,28,205.1,150.9,6.64,33,205.1,33,306.0,197.7,21.63,8,337.6,6,92.4,69.1,3.13,16,92.4,16,324.9,218.4,26.13,16,324.9,16,345.0,240.5,11.00,10,301.5,58,306.0,197.7,21.63,8,337.6,6
4,3000,380.0,278.7,15.83,23,388.2,71,212.6,142.7,9.74,34,212.6,34,255.5,192.9,8.24,25,255.5,25,383.6,218.8,47.11,9,424.8,7,100.8,71.0,3.64,11,100.8,11,394.9,228.9,52.82,17,394.9,17,379.9,278.7,15.83,23,388.2,71,383.6,218.8,47.11,9,424.8,7
5,3600,414.6,306.6,17.19,37,410.2,61,159.1,110.0,6.70,27,159.1,27,236.0,172.9,9.14,28,236.0,28,445.1,257.7,55.33,12,480.0,10,85.3,63.6,2.92,13,85.3,13,433.0,251.1,63.28,18,433.0,18,414.5,306.6,17.19,37,410.1,61,445.1,257.7,55.33,12,479.9,10
6,Total,364.8,267.5,13.72,97,363.9,241,175.6,120.8,7.54,162,175.6,162,217.6,160.6,7.34,119,217.6,119,382.3,232.9,37.32,38,419.2,30,91.3,67.7,3.24,62,91.3,62,319.4,201.1,33.44,87,319.4,87,364.7,267.5,13.72,97,363.9,241,382.3,232.9,37.32,38,419.2,30
