,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,120,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2,180,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
3,240,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
4,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,360,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,420,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,391.1,1,0.0,0,0.0,0
7,480,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8,540,0.0,0,0.0,0,0.0,0,0.0,0,498.4,2,440.0,2,0.0,0,0.0,0
9,600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,515.8,1,0.0,0,0.0,0
10,660,0.0,0,567.6,3,0.0,0,0.0,0,534.2,1,0.0,0,0.0,0,0.0,0
11,720,0.0,0,0.0,0,0.0,0,0.0,0,501.1,4,501.9,2,0.0,0,0.0,0
12,780,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
13,840,0.0,0,637.3,5,704.2,1,0.0,0,545.0,1,0.0,0,0.0,0,0.0,0
14,900,0.0,0,0.0,0,758.0,1,0.0,0,0.0,0,521.5,2,0.0,0,0.0,0
15,960,0.0,0,619.8,1,842.8,3,0.0,0,0.0,0,562.4,4,0.0,0,0.0,0
16,1020,0.0,0,670.5,9,764.5,3,0.0,0,523.9,1,0.0,0,0.0,0,0.0,0
17,1080,0.0,0,0.0,0,823.8,2,922.9,1,538.7,1,547.0,3,0.0,0,0.0,0
18,1140,1072.7,1,621.9,3,823.2,2,1096.0,1,532.5,3,488.2,1,0.0,0,1094.9,1
19,1200,0.0,0,626.4,5,0.0,0,0.0,0,458.5,1,0.0,0,0.0,0,0.0,0
20,1260,992.1,2,0.0,0,870.3,3,0.0,0,0.0,0,589.3,1,0.0,0,0.0,0
21,1320,0.0,0,641.6,3,0.0,0,1091.4,2,0.0,0,635.4,3,0.0,0,0.0,0
22,1380,1047.5,2,599.7,4,959.4,3,0.0,0,501.0,2,545.9,1,0.0,0,0.0,0
23,1440,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,590.1,1,0.0,0,0.0,0
24,1500,1089.1,3,590.2,8,902.0,2,1085.2,1,0.0,0,614.5,3,1468.6,1,1084.0,1
25,1560,0.0,0,626.6,1,0.0,0,1145.9,1,0.0,0,551.1,1,0.0,0,0.0,0
26,1620,1173.9,5,0.0,0,915.8,4,0.0,0,488.1,2,583.8,2,0.0,0,0.0,0
27,1680,1000.2,1,630.0,6,883.8,1,986.8,1,577.0,2,573.9,1,0.0,0,0.0,0
28,1740,1219.2,3,0.0,0,0.0,0,1045.3,1,0.0,0,552.7,3,0.0,0,0.0,0
