,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,105.0,79.6,4.00,2,105.0,2,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,87.0,71.0,2.00,3,87.0,3,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,0.0,0.0,0.00,0,0.0,0,218.5,166.0,5.88,24,218.5,24,255.0,207.5,5.67,9,255.0,9,335.8,262.6,5.00,1,0.0,0,118.8,92.9,3.64,11,118.8,11,231.7,178.9,8.07,15,231.7,15,0.0,0.0,0.00,0,0.0,0,335.8,262.6,5.00,1,0.0,0
2,1800,395.3,295.8,11.10,21,364.9,69,281.2,217.6,9.66,41,281.2,41,304.4,244.0,8.75,20,304.4,20,304.4,222.3,12.33,6,391.6,4,89.0,69.2,2.56,9,89.0,9,315.9,238.3,15.38,21,315.9,21,395.3,295.8,11.10,21,364.9,69,304.4,222.3,12.33,6,391.6,4
3,2400,451.7,339.9,13.44,16,398.3,64,291.1,221.7,10.36,28,291.1,28,302.8,242.6,8.00,35,302.8,35,394.4,304.3,13.30,10,456.5,8,169.1,142.7,4.42,12,169.1,12,345.2,271.1,13.54,13,345.2,13,451.6,339.9,13.38,16,398.3,64,394.4,304.3,13.30,10,456.5,8
4,3000,443.9,332.0,14.27,26,426.8,50,389.4,299.2,16.87,23,389.4,23,306.6,243.1,8.00,28,306.6,28,427.3,288.9,32.75,4,492.0,3,261.4,212.3,10.60,15,261.4,15,457.0,325.1,34.70,20,457.0,20,443.8,332.0,14.27,26,426.8,50,427.3,288.9,32.75,4,492.0,3
5,3600,551.8,407.6,22.90,20,479.7,44,410.5,279.0,31.46,28,410.5,28,309.0,237.7,8.05,21,309.0,21,730.9,560.7,35.60,15,796.9,13,262.6,221.7,8.20,5,262.6,5,456.5,326.4,33.82,17,456.5,17,551.7,407.6,22.90,20,479.7,44,730.9,560.7,35.60,15,796.9,13
6,Total,459.1,342.6,15.39,83,410.2,227,312.2,232.6,14.41,146,312.2,146,301.4,239.2,7.96,113,301.4,113,521.6,394.6,24.36,36,609.1,28,175.1,143.0,5.85,55,175.1,55,366.3,270.5,21.97,86,366.3,86,459.0,342.6,15.37,83,410.2,227,521.6,394.6,24.36,36,609.1,28
