,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,76.9,64.8,3.33,3,76.9,3,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,266.9,227.7,5.00,1,266.9,1,229.8,206.3,5.00,10,229.8,10,180.5,156.2,3.88,8,180.5,8,152.8,94.9,4.00,1,0.0,0,70.6,60.1,2.25,4,70.6,4,132.0,107.7,5.00,8,132.0,8,266.9,227.7,5.00,1,266.9,1,152.8,94.9,4.00,1,0.0,0
2,1800,282.9,227.4,6.13,8,446.2,32,185.7,158.1,4.78,18,185.7,18,176.0,153.1,3.69,13,176.0,13,221.0,163.5,6.75,4,315.0,2,88.8,75.5,2.75,4,88.8,4,179.2,160.7,3.50,6,179.2,6,282.9,227.4,6.13,8,446.2,32,221.0,163.5,6.75,4,315.0,2
3,2400,369.7,296.9,8.23,13,532.2,61,236.2,201.9,5.20,10,236.2,10,187.7,165.2,4.33,3,187.7,3,252.3,197.7,6.40,5,302.5,3,105.8,92.2,2.80,5,105.8,5,179.1,155.0,4.00,9,179.1,9,369.7,296.9,8.23,13,532.2,61,252.3,197.7,6.40,5,302.5,3
4,3000,349.6,269.9,7.30,10,488.6,58,179.2,157.4,3.80,15,179.2,15,223.6,190.7,5.20,10,223.6,10,236.3,194.6,6.50,4,272.9,3,101.7,91.7,2.25,4,101.7,4,201.2,163.4,4.80,5,201.2,5,349.6,269.9,7.30,10,488.6,58,236.3,194.6,6.50,4,272.9,3
5,3600,332.5,257.5,6.70,10,452.3,58,225.3,190.7,5.31,13,225.3,13,186.5,158.5,4.69,13,186.5,13,262.1,204.0,6.00,5,270.4,3,78.3,61.9,3.50,2,78.3,2,148.5,126.1,4.43,7,148.5,7,332.4,257.5,6.70,10,452.3,58,262.1,204.0,6.00,5,270.4,3
6,Total,337.1,266.2,7.17,42,483.7,210,206.3,178.3,4.76,66,206.3,66,190.6,163.9,4.36,47,190.6,47,239.7,186.1,6.26,19,287.9,11,89.1,76.7,2.73,22,89.1,22,165.4,140.6,4.34,35,165.4,35,337.1,266.2,7.17,42,483.7,210,239.7,186.1,6.26,19,287.9,11
