,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,114.4,88.4,4.00,1,114.4,1,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,132.8,123.3,2.00,1,132.8,1,85.4,72.9,3.00,1,85.4,1,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,226.6,193.2,6.00,1,226.6,1,145.0,122.5,4.00,13,145.0,13,141.4,127.0,3.43,7,141.4,7,101.8,85.6,2.00,1,101.8,1,140.0,130.4,2.80,5,140.0,5,82.9,68.7,2.11,9,82.9,9,226.6,193.2,6.00,1,226.6,1,101.8,85.6,2.00,1,101.8,1
2,1800,279.1,218.5,6.86,7,551.0,31,152.1,128.3,3.36,11,152.1,11,182.8,158.2,4.75,12,182.8,12,257.8,212.4,5.80,5,163.8,3,100.9,89.3,2.25,4,100.9,4,90.7,71.4,2.40,5,90.7,5,279.1,218.5,6.86,7,550.9,31,257.8,212.4,5.80,5,163.8,3
3,2400,296.6,237.8,5.92,13,487.3,61,135.3,109.2,4.00,17,135.3,17,166.4,141.0,4.25,4,166.4,4,190.8,140.0,4.50,4,93.7,2,141.5,123.3,3.20,5,141.5,5,82.3,62.2,2.75,8,82.3,8,296.5,237.8,5.92,13,487.3,61,190.8,140.0,4.50,4,93.7,2
4,3000,327.3,270.3,7.75,8,582.2,32,115.1,90.2,3.43,14,115.1,14,170.8,148.1,4.78,9,170.8,9,235.0,192.2,5.25,4,185.9,3,120.9,108.4,2.33,3,120.9,3,103.1,85.3,2.43,7,103.1,7,327.3,270.3,7.75,8,582.2,32,235.0,192.2,5.25,4,185.9,3
5,3600,299.0,233.7,6.45,11,546.7,59,158.5,133.8,4.29,14,158.5,14,148.9,130.8,3.55,11,148.9,11,287.3,233.2,5.83,6,251.4,3,171.3,155.7,3.25,4,171.3,4,83.3,63.0,2.90,10,83.3,10,298.9,233.7,6.45,11,546.4,59,287.3,233.2,5.83,6,251.4,3
6,Total,298.6,238.7,6.60,40,532.2,184,140.1,115.5,3.84,70,140.1,70,163.3,142.4,4.19,43,163.3,43,240.9,193.7,5.25,20,174.4,12,136.0,122.6,2.77,22,136.0,22,87.4,69.4,2.55,40,87.4,40,298.5,238.7,6.60,40,532.1,184,240.9,193.7,5.25,20,174.4,12
