,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,120,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2,180,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
3,240,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
4,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,360,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,420,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
7,480,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8,540,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
9,600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
10,660,0.0,0,592.7,1,0.0,0,0.0,0,581.4,3,0.0,0,0.0,0,0.0,0
11,720,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
12,780,0.0,0,723.6,2,723.5,1,0.0,0,614.6,3,718.8,4,0.0,0,0.0,0
13,840,0.0,0,0.0,0,0.0,0,0.0,0,599.7,3,0.0,0,0.0,0,0.0,0
14,900,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
15,960,0.0,0,802.8,5,822.9,4,0.0,0,613.9,1,750.6,3,0.0,0,0.0,0
16,1020,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
17,1080,0.0,0,0.0,0,946.4,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
18,1140,0.0,0,846.3,10,901.6,2,0.0,0,643.3,4,0.0,0,0.0,0,0.0,0
19,1200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
20,1260,0.0,0,906.2,4,998.2,6,0.0,0,716.4,1,870.6,6,0.0,0,0.0,0
21,1320,0.0,0,0.0,0,1010.4,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
22,1380,0.0,0,0.0,0,0.0,0,1361.0,1,0.0,0,945.0,1,0.0,0,1359.9,1
23,1440,1386.3,1,971.6,8,973.5,8,0.0,0,806.7,2,840.4,4,0.0,0,0.0,0
24,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
25,1560,1389.2,1,0.0,0,989.3,1,0.0,0,0.0,0,932.0,4,0.0,0,0.0,0
26,1620,1336.6,2,961.3,7,923.8,1,1475.4,1,0.0,0,900.2,2,1578.7,1,0.0,0
27,1680,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
28,1740,1441.5,4,1016.3,4,999.6,3,1466.6,3,872.1,1,983.9,4,0.0,0,1322.4,1
