speed,LinkName,TQDelay
0.0,ci1,333.58071705489704
0.0,ci10,154.46828636345518
0.0,ci11,105.1074354060193
0.0,ci12,74.54467365028204
0.0,ci13,45.965139572439256
0.0,ci2,247.7532204259687
0.0,ci3,253.54313629377737
0.0,ci4,184.24268024411015
0.0,ci5,150.42178855669076
0.0,ci6,79.57947989199944
0.0,ci7,103.22999548763022
0.0,ci8,114.25645605995884
0.0,ci9,143.03965069222576
0.0,co1,91.28529007982917
0.0,co10,114.50669431102891
0.0,co11,134.3946454413893
0.0,co12,377.81309523809523
0.0,co13,179.31668248644772
0.0,co2,347.87373971292686
0.0,co3,460.1748004606282
0.0,co4,463.5531080154081
0.0,co5,198.17716515015792
0.0,co6,375.71257755946226
0.0,co7,365.8
0.0,co8,237.6279500865551
0.0,co9,256.02168861474195
10.0,ci1,300.95726303982053
10.0,ci10,121.3132937128558
10.0,ci11,76.75533562822719
10.0,ci12,55.07147147147147
10.0,ci13,37.185569702905646
10.0,ci2,244.58483268144283
10.0,ci3,217.24186976206533
10.0,ci4,188.20267754868271
10.0,ci5,125.43891213389121
10.0,ci6,79.48147662734819
10.0,ci7,95.19296
10.0,ci8,125.71840562719812
10.0,ci9,111.2700575815739
10.0,co1,95.01809855880985
10.0,co10,202.13831005586593
10.0,co11,215.2283950617284
10.0,co12,268.3928143712575
10.0,co13,218.03758987633014
10.0,co2,342.26693250094723
10.0,co3,469.4254674403611
10.0,co4,413.92899305555557
10.0,co5,324.06440457618305
10.0,co6,337.627001003009
10.0,co7,318.10858563036606
10.0,co8,258.3302953048651
10.0,co9,182.42787769784172
20.0,ci1,277.11528948166114
20.0,ci10,89.92229927980796
20.0,ci11,59.34844009599409
20.0,ci12,46.149981604120676
20.0,ci13,24.606599198819314
20.0,ci2,235.78825412874957
20.0,ci3,207.83775660544154
20.0,ci4,177.05775685250794
20.0,ci5,113.21729913882842
20.0,ci6,90.45222625843279
20.0,ci7,91.47966154323863
20.0,ci8,99.14891156462585
20.0,ci9,107.87428987618354
20.0,co1,58.22812220146867
20.0,co10,207.50258668134288
20.0,co11,230.42921535893157
20.0,co12,293.9120192307692
20.0,co13,213.68800377833753
20.0,co2,272.62521561771564
20.0,co3,429.4749598271181
20.0,co4,427.03159968479116
20.0,co5,290.7416196160671
20.0,co6,277.5788829635273
20.0,co7,358.82457783236106
20.0,co8,168.44628125548516
20.0,co9,190.15802732422526
30.0,ci1,256.86162108709
30.0,ci10,96.35524725379149
30.0,ci11,73.35631044616618
30.0,ci12,62.40059378504981
30.0,ci13,35.47352583903099
30.0,ci2,210.9696726374305
30.0,ci3,198.0879841549296
30.0,ci4,167.53552898630946
30.0,ci5,134.3592811569545
30.0,ci6,85.74428934010152
30.0,ci7,75.20838189510657
30.0,ci8,98.62461096075778
30.0,ci9,122.46298220841571
30.0,co1,50.248141257873954
30.0,co10,171.56564564270687
30.0,co11,205.52536551279294
30.0,co12,223.93447724039828
30.0,co13,156.67506085002807
30.0,co2,179.71235054925046
30.0,co3,389.0283997204752
30.0,co4,255.692516055521
30.0,co5,246.2551145477728
30.0,co6,211.87392257121988
30.0,co7,313.302797314578
30.0,co8,151.69696497042958
30.0,co9,212.90232310062817
40.0,ci1,244.60556608133086
40.0,ci10,75.33623122439691
40.0,ci11,67.08660714285715
40.0,ci12,61.67108903175531
40.0,ci13,5.485353135788263
40.0,ci2,162.91740393503235
40.0,ci3,141.71962713619885
40.0,ci4,102.82056351952545
40.0,ci5,147.37534516765285
40.0,ci6,104.20287865367582
40.0,ci7,68.22430103682517
40.0,ci8,88.09481295796374
40.0,ci9,77.9788409703504
40.0,co1,36.77765065700045
40.0,co10,121.58559926386013
40.0,co11,155.87715202801283
40.0,co12,183.1265315075361
40.0,co13,205.0506938723782
40.0,co2,90.56093023255814
40.0,co3,152.47615830115828
40.0,co4,55.46721348826612
40.0,co5,72.90971903669725
40.0,co6,42.63954802259887
40.0,co7,257.24193703882236
40.0,co8,199.55457556935818
40.0,co9,138.24438444924405
50.0,ci1,86.67142857142856
50.0,ci10,31.141176470588235
50.0,ci11,23.571428571428573
50.0,ci12,43.695238095238096
50.0,ci13,0.40084269662921346
50.0,ci2,190.40454545454543
50.0,ci3,86.4525
50.0,ci4,2.1
50.0,ci6,134.75
50.0,ci7,77.12941176470588
50.0,ci8,39.18518518518518
50.0,ci9,0.1
50.0,co1,37.5945945945946
50.0,co10,235.26923076923077
50.0,co11,119.0
50.0,co12,133.31235253296322
50.0,co13,227.43057124921532
50.0,co3,17.5
50.0,co4,0.5833333333333334
50.0,co5,0.16999999999999998
50.0,co6,1.1666666666666667
50.0,co7,213.63438914027148
50.0,co8,192.7421052631579
50.0,co9,3.4
