,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,119.2,100.2,3.67,3,119.2,3,93.4,65.0,4.67,3,93.4,3,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,0.0,0.0,0.00,0,0.0,0,252.6,214.2,6.50,10,252.6,10,194.6,159.1,5.67,9,194.6,9,301.9,231.1,6.00,1,0.0,0,129.8,111.1,4.00,4,129.8,4,104.9,73.2,4.60,5,104.9,5,0.0,0.0,0.00,0,0.0,0,301.9,231.1,6.00,1,0.0,0
2,1800,401.3,319.1,8.20,5,500.8,29,274.9,225.3,7.31,13,274.9,13,232.0,193.3,6.50,8,232.0,8,216.3,152.2,7.33,6,184.4,4,135.7,119.0,3.00,4,135.7,4,174.5,128.6,5.90,10,174.5,10,401.2,319.1,8.20,5,500.7,29,216.3,152.2,7.33,6,184.4,4
3,2400,402.8,319.1,9.50,16,515.0,64,264.6,223.9,6.24,17,264.6,17,172.7,136.7,5.00,7,172.7,7,242.2,177.4,7.67,3,234.6,2,98.6,83.2,2.80,5,98.6,5,181.0,128.0,7.57,7,181.0,7,402.8,319.1,9.50,16,515.0,64,242.2,177.4,7.67,3,234.6,2
4,3000,411.1,329.9,9.60,10,565.6,58,235.5,191.1,6.13,15,235.5,15,229.2,190.1,6.63,8,229.2,8,225.8,164.0,7.33,6,191.4,4,102.4,93.3,2.67,3,102.4,3,125.9,87.0,4.17,6,125.9,6,411.1,329.9,9.60,10,565.6,58,225.8,164.0,7.33,6,191.4,4
5,3600,386.0,303.9,10.00,7,462.5,31,273.0,226.5,6.92,12,273.0,12,241.5,204.3,6.08,12,241.5,12,260.0,193.5,7.25,4,323.1,2,95.8,79.7,3.00,3,95.8,3,143.1,83.9,7.00,8,143.1,8,386.0,303.9,10.00,7,462.5,31,260.0,193.5,7.25,4,323.1,2
6,Total,401.7,319.1,9.45,38,519.9,182,259.8,215.9,6.58,67,259.8,67,217.0,179.7,6.00,44,217.0,44,236.0,171.7,7.30,20,218.2,12,114.0,98.0,3.18,22,114.0,22,146.6,100.9,5.90,39,146.6,39,401.7,319.1,9.45,38,519.9,182,236.0,171.7,7.30,20,218.2,12
