,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,0.0,0,0.0,0,0.0,0,567.7,1,0.0,0,0.0,0,0.0,0
1,1200,0.0,0,817.2,20,992.8,8,0.0,0,718.6,10,732.7,12,0.0,0,0.0,0
2,1800,1494.7,6,992.2,21,1068.9,19,1487.6,4,658.8,6,901.4,19,1530.9,1,1355.7,2
3,2400,1660.6,13,1145.3,22,1087.0,25,1667.8,4,642.9,11,1026.4,15,1528.4,2,1399.3,1
4,3000,1936.1,14,1234.1,32,1143.4,27,1873.9,6,847.4,11,1190.8,11,1521.9,2,0.0,0
5,3600,2011.7,12,1327.2,19,1177.4,28,1871.3,7,701.6,10,1272.6,19,1522.8,1,1776.3,3
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
