,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,0.0,0,0.0,0,0.0,0,507.3,1,417.2,1,0.0,0,0.0,0
1,1200,1124.8,1,567.9,13,869.2,6,0.0,0,547.5,4,500.1,11,0.0,0,0.0,0
2,1800,1076.9,5,588.8,11,866.3,12,1187.7,6,534.8,4,521.6,3,1645.7,1,1398.9,2
3,2400,1112.6,12,579.5,13,839.0,7,1141.9,4,579.1,5,543.6,8,1525.0,2,1245.9,2
4,3000,1065.9,5,596.3,12,819.5,8,1149.7,5,584.3,2,558.2,5,1528.7,2,1275.9,1
5,3600,1080.3,9,613.9,14,815.5,15,1210.8,5,559.8,5,531.5,8,1534.5,1,1238.1,3
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
