speed,LinkName,TQDelay
0.0,ci1,135.07600502848584
0.0,ci10,77.50161664665866
0.0,ci11,50.832689692684255
0.0,ci12,30.851468155500417
0.0,ci13,26.259856823955044
0.0,ci2,88.74850980842032
0.0,ci3,54.869226563485725
0.0,ci4,104.15183772097164
0.0,ci5,86.6876824492702
0.0,ci6,35.81542785758901
0.0,ci7,49.37405201793722
0.0,ci8,69.95622364071583
0.0,ci9,66.50467221135028
0.0,co1,23.98831497836107
0.0,co10,88.0304735013032
0.0,co11,107.68055077452668
0.0,co12,160.24285714285716
0.0,co13,108.93754167114743
0.0,co2,53.32508321005917
0.0,co3,85.39772847332277
0.0,co4,93.48706723532364
0.0,co5,72.21764929075944
0.0,co6,94.18521666317773
0.0,co7,114.17394673123488
0.0,co8,108.59211293825628
0.0,co9,103.70154399001127
10.0,ci1,112.80919509235541
10.0,ci10,65.81648648648648
10.0,ci11,39.21889927310488
10.0,ci12,25.330933333333334
10.0,ci13,19.664475476839236
10.0,ci2,75.03189829529038
10.0,ci3,69.27232443638249
10.0,ci4,91.3463447127394
10.0,ci5,70.80274950901625
10.0,ci6,52.76242424242424
10.0,ci7,43.02955151515151
10.0,ci8,61.021310507674144
10.0,ci9,69.37762295081967
10.0,co1,19.16049084691209
10.0,co10,102.03468481375357
10.0,co11,122.4060924369748
10.0,co12,136.09347826086957
10.0,co13,102.66683579335793
10.0,co2,47.717130652526144
10.0,co3,81.83235465116279
10.0,co4,96.64563017479301
10.0,co5,76.5720633299285
10.0,co6,97.25125270253083
10.0,co7,100.63550264550265
10.0,co8,103.19640538033396
10.0,co9,92.25676988463874
20.0,ci1,100.05934810564843
20.0,ci10,53.06132461161079
20.0,ci11,34.233879935252304
20.0,ci12,25.987767150785217
20.0,ci13,23.72093955527717
20.0,ci2,66.22415132835562
20.0,ci3,83.7345846781043
20.0,ci4,85.60726419055617
20.0,ci5,67.47426329889016
20.0,ci6,58.39823995306541
20.0,ci7,37.58292882311487
20.0,ci8,42.47287258666231
20.0,ci9,57.15473159933592
20.0,co1,28.838819055469173
20.0,co10,85.16663423448468
20.0,co11,115.85452982446411
20.0,co12,146.60561797752808
20.0,co13,149.142736333434
20.0,co2,44.48264826557255
20.0,co3,79.40418884517473
20.0,co4,66.27106277043448
20.0,co5,75.90159391061088
20.0,co6,88.54589679825925
20.0,co7,93.68055141579732
20.0,co8,73.55663875308582
20.0,co9,85.45799782372144
30.0,ci1,98.80668203877634
30.0,ci10,57.5441475409836
30.0,ci11,35.07700458521173
30.0,ci12,29.233400094250708
30.0,ci13,12.063727067911168
30.0,ci2,55.274504616661474
30.0,ci3,71.02541930674617
30.0,ci4,88.81624574256153
30.0,ci5,62.66940770557792
30.0,ci6,49.89024356103023
30.0,ci7,41.067130450194966
30.0,ci8,43.53320257961572
30.0,ci9,47.14191762621789
30.0,co1,25.15543568166289
30.0,co10,85.13872824807012
30.0,co11,109.96321792467177
30.0,co12,105.44917506366959
30.0,co13,101.98897268463166
30.0,co2,47.212111308245404
30.0,co3,80.00704887218045
30.0,co4,51.66836493793314
30.0,co5,72.7027243364696
30.0,co6,78.5002736891292
30.0,co7,87.57063079407925
30.0,co8,76.27782183283239
30.0,co9,92.72509106492393
40.0,ci1,71.87353063776574
40.0,ci10,56.06649751293775
40.0,ci11,48.49556377079483
40.0,ci12,29.257047667862633
40.0,ci13,1.7312017959952202
40.0,ci2,72.46474929044466
40.0,ci3,55.80507781795315
40.0,ci4,84.94093446958566
40.0,ci5,66.00601368861719
40.0,ci6,35.46053362979433
40.0,ci7,31.12890942698706
40.0,ci8,42.87279151943463
40.0,ci9,51.19055643441777
40.0,co1,15.878036067966226
40.0,co10,84.01535874439462
40.0,co11,72.80961887477314
40.0,co12,102.16796465780234
40.0,co13,109.19401142281204
40.0,co2,46.66926793604374
40.0,co3,87.18109013848505
40.0,co4,70.90665656008821
40.0,co5,35.624254215304795
40.0,co6,47.36530418250951
40.0,co7,59.32147582697201
40.0,co8,36.6745680894309
40.0,co9,97.35855909496875
50.0,ci1,38.538636363636364
50.0,ci10,126.28
50.0,ci11,86.1125
50.0,ci12,57.8
50.0,ci13,0.18421052631578946
50.0,ci2,115.37377049180328
50.0,ci3,58.859547169811314
50.0,ci4,118.82800000000002
50.0,ci5,112.77272727272727
50.0,ci6,59.0
50.0,ci7,38.80769230769231
50.0,ci8,51.46363636363637
50.0,ci9,13.3
50.0,co1,20.62142857142857
50.0,co10,57.287437185929655
50.0,co11,103.78
50.0,co12,0.0
50.0,co13,34.517857142857146
50.0,co2,51.14230366492147
50.0,co3,82.53498145859086
50.0,co4,83.18032786885246
50.0,co5,44.15
50.0,co6,0.0
50.0,co7,35.78888888888889
50.0,co8,34.00967741935484
50.0,co9,117.79667896678967
