,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,0.0,0,0.0,0,0.0,0,536.7,1,481.6,3,0.0,0,0.0,0
1,1200,0.0,0,646.8,16,904.0,8,0.0,0,560.1,10,459.1,11,0.0,0,0.0,0
2,1800,1167.3,13,634.6,15,876.0,15,1073.8,6,589.9,7,458.0,12,1502.6,1,1416.7,1
3,2400,1187.2,14,697.1,24,867.7,12,1068.0,7,556.8,8,443.6,13,1480.5,2,1291.8,3
4,3000,1172.9,9,659.4,22,885.0,19,1025.6,6,554.3,7,435.8,11,1466.7,2,1254.6,1
5,3600,1186.9,9,657.7,15,911.6,16,1086.0,6,574.1,9,431.3,12,1576.5,1,1233.3,3
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
