,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,83.9,69.1,2.50,2,83.9,2,92.1,61.9,2.50,4,92.1,4,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,247.7,197.0,8.00,1,247.7,1,198.2,164.8,4.69,26,198.2,26,197.7,165.3,4.67,12,197.7,12,242.5,182.5,4.00,2,196.7,1,110.7,83.4,2.92,12,110.7,12,170.6,133.9,3.75,12,170.6,12,247.7,197.0,8.00,1,247.7,1,242.5,182.5,4.00,2,196.7,1
2,1800,305.0,234.8,7.55,20,424.0,44,180.4,144.5,4.27,22,180.4,22,267.8,224.9,5.76,17,267.8,17,311.3,241.1,7.71,7,320.8,5,91.4,76.5,1.50,6,91.4,6,223.2,183.6,4.31,16,223.2,16,304.9,234.8,7.55,20,424.0,44,311.3,241.1,7.71,7,320.8,5
3,2400,345.6,263.9,7.35,17,480.0,65,198.0,151.3,5.80,35,198.0,35,222.6,181.3,5.16,25,222.6,25,327.9,254.6,8.29,7,334.8,6,70.8,54.4,1.92,12,70.8,12,201.8,155.9,4.92,13,201.8,13,345.5,263.9,7.35,17,479.9,65,327.9,254.6,8.29,7,334.8,6
4,3000,335.1,257.1,7.86,14,484.0,62,180.7,141.6,5.04,25,180.7,25,198.5,152.9,5.25,16,198.5,16,318.6,242.2,8.20,5,351.0,3,99.8,79.9,2.79,14,99.8,14,250.7,191.0,6.71,14,250.7,14,335.1,257.1,7.86,14,484.0,62,318.6,242.2,8.20,5,351.0,3
5,3600,322.6,244.4,8.30,23,409.4,71,221.8,169.4,6.19,21,221.8,21,254.7,205.4,6.67,27,254.7,27,342.1,262.0,9.93,15,357.4,13,98.0,79.0,2.67,6,98.0,6,223.5,162.7,7.35,23,223.5,23,322.5,244.4,8.30,23,409.4,71,342.1,262.0,9.93,15,357.4,13
6,Total,324.4,248.0,7.80,75,449.3,243,195.6,153.9,5.23,129,195.6,129,232.4,189.0,5.64,97,232.4,97,324.6,249.3,8.61,36,339.6,28,93.9,73.9,2.44,52,93.9,52,210.5,161.4,5.50,82,210.5,82,324.4,248.0,7.80,75,449.3,243,324.6,249.3,8.61,36,339.6,28
