,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,505.8,2,0.0,0,0.0,0,503.7,2,0.0,0,0.0,0,0.0,0
1,1200,0.0,0,716.1,25,890.1,14,1170.0,1,614.6,13,708.8,14,0.0,0,1168.9,1
2,1800,1389.4,10,815.1,26,1029.7,24,1465.2,5,623.4,15,903.0,15,1431.7,2,1265.2,1
3,2400,1584.0,19,1266.7,8,1133.2,24,1539.8,4,674.8,22,1079.0,15,1235.8,2,1098.7,1
4,3000,1780.4,15,1527.3,39,1240.5,30,1809.7,6,808.6,12,1270.6,19,1404.1,1,1391.5,1
5,3600,2019.5,13,1639.6,18,1423.2,24,2036.5,13,850.4,18,1423.3,21,1398.1,2,2022.6,1
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
