,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,120,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2,180,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
3,240,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
4,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,360,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,420,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
7,480,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8,540,0.0,0,480.3,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
9,600,0.0,0,552.8,1,0.0,0,0.0,0,518.4,3,0.0,0,0.0,0,0.0,0
10,660,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,559.5,3,0.0,0,0.0,0
11,720,0.0,0,648.7,1,0.0,0,0.0,0,0.0,0,610.8,3,0.0,0,0.0,0
12,780,0.0,0,603.4,4,0.0,0,0.0,0,564.6,3,0.0,0,0.0,0,0.0,0
13,840,0.0,0,0.0,0,770.5,1,0.0,0,530.5,3,0.0,0,0.0,0,0.0,0
14,900,0.0,0,629.3,11,749.8,1,0.0,0,0.0,0,624.0,4,0.0,0,0.0,0
15,960,0.0,0,0.0,0,804.8,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
16,1020,0.0,0,0.0,0,790.9,1,0.0,0,537.1,2,0.0,0,0.0,0,0.0,0
17,1080,0.0,0,654.0,8,967.7,1,0.0,0,588.4,2,679.3,1,0.0,0,0.0,0
18,1140,0.0,0,0.0,0,935.3,1,1123.2,1,546.9,1,732.1,2,0.0,0,1122.1,1
19,1200,0.0,0,0.0,0,1026.3,2,0.0,0,0.0,0,726.4,2,0.0,0,0.0,0
20,1260,1192.4,1,706.4,5,959.9,8,0.0,0,533.3,2,678.6,2,0.0,0,0.0,0
21,1320,0.0,0,657.4,3,0.0,0,1077.7,2,433.8,1,744.4,2,0.0,0,943.3,1
22,1380,1156.4,3,658.5,2,935.9,5,1169.6,1,478.7,1,681.4,2,1324.2,1,0.0,0
23,1440,0.0,0,741.7,2,0.0,0,0.0,0,0.0,0,725.7,3,0.0,0,0.0,0
24,1500,1199.4,2,697.1,9,871.0,2,1147.2,1,501.1,2,763.7,3,0.0,0,0.0,0
25,1560,0.0,0,0.0,0,0.0,0,0.0,0,610.2,1,729.8,2,0.0,0,0.0,0
26,1620,1192.2,4,679.6,7,934.3,1,0.0,0,0.0,0,725.2,2,1224.1,1,0.0,0
27,1680,0.0,0,0.0,0,0.0,0,1058.0,2,0.0,0,753.0,1,0.0,0,938.9,1
28,1740,1296.0,9,0.0,0,929.0,4,0.0,0,542.2,1,659.4,2,0.0,0,0.0,0
