,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,0.0,0.0,0.00,0,0.0,0,356.6,297.1,9.20,15,356.6,15,266.5,217.0,6.30,10,266.5,10,0.0,0.0,0.00,0,0.0,0,173.9,151.4,3.62,13,173.9,13,268.6,212.0,6.85,13,268.6,13,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
2,1800,580.9,471.5,12.20,5,639.6,29,446.3,359.2,14.12,25,446.3,25,319.9,259.0,8.12,17,319.9,17,504.3,399.5,11.25,8,507.0,6,191.3,157.0,4.71,7,191.3,7,386.5,311.6,10.77,22,386.5,22,580.8,471.5,12.20,5,639.5,29,504.3,399.5,11.25,8,507.0,6
3,2400,665.1,539.1,17.67,24,600.1,72,568.0,438.9,31.34,29,568.0,29,326.6,259.7,8.92,26,326.6,26,589.8,477.0,15.40,5,583.5,4,175.7,138.7,4.31,16,175.7,16,476.1,380.5,17.62,13,476.1,13,664.9,539.1,17.63,24,600.1,72,589.8,477.0,15.40,5,583.5,4
4,3000,790.1,611.8,27.78,9,657.0,33,624.5,462.0,49.39,33,624.5,33,366.2,288.5,9.50,34,366.2,34,623.9,524.2,15.14,7,656.1,5,163.8,139.7,3.57,7,163.8,7,487.4,394.6,16.33,18,487.4,18,789.9,611.8,27.78,9,657.0,33,623.9,524.2,15.14,7,656.1,5
5,3600,843.8,624.8,50.16,31,715.6,79,689.3,509.1,55.62,21,689.3,21,327.2,256.6,9.63,27,327.2,27,656.3,544.0,16.67,12,672.9,11,141.9,111.0,4.38,8,141.9,8,481.7,391.1,16.33,15,481.7,15,843.7,624.8,50.16,31,715.5,79,656.3,544.0,16.67,12,672.9,11
6,Total,755.6,582.2,33.19,69,657.1,213,553.3,423.6,34.13,123,553.3,123,332.3,263.7,8.91,114,332.3,114,600.8,493.1,14.78,32,617.6,26,170.5,140.2,4.10,51,170.5,51,422.0,339.8,13.51,81,422.0,81,755.4,582.2,33.17,69,657.1,213,600.8,493.1,14.78,32,617.6,26
