,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,120,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2,180,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
3,240,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
4,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,360,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,420,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
7,480,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,428.2,2,0.0,0,0.0,0
8,540,0.0,0,0.0,0,0.0,0,0.0,0,516.0,1,485.7,2,0.0,0,0.0,0
9,600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
10,660,0.0,0,614.1,2,0.0,0,0.0,0,600.5,1,535.2,2,0.0,0,0.0,0
11,720,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
12,780,0.0,0,0.0,0,0.0,0,0.0,0,558.8,3,515.1,2,0.0,0,0.0,0
13,840,0.0,0,692.3,7,0.0,0,0.0,0,558.7,2,552.3,1,0.0,0,0.0,0
14,900,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,588.5,2,0.0,0,0.0,0
15,960,0.0,0,654.3,2,0.0,0,0.0,0,511.6,1,519.6,2,0.0,0,0.0,0
16,1020,0.0,0,742.1,7,921.0,4,0.0,0,557.0,4,619.7,1,0.0,0,0.0,0
17,1080,0.0,0,717.7,1,908.9,2,1071.6,1,0.0,0,690.9,1,0.0,0,1070.5,1
18,1140,0.0,0,732.7,4,933.8,2,0.0,0,502.0,2,623.5,4,0.0,0,0.0,0
19,1200,0.0,0,726.3,1,898.3,5,1079.4,1,0.0,0,612.5,2,0.0,0,0.0,0
20,1260,0.0,0,765.0,6,0.0,0,893.0,1,0.0,0,0.0,0,0.0,0,891.8,1
21,1320,1276.9,1,706.3,6,1040.2,4,0.0,0,0.0,0,0.0,0,1278.7,1,0.0,0
22,1380,0.0,0,0.0,0,0.0,0,1183.5,1,0.0,0,708.0,4,0.0,0,0.0,0
23,1440,0.0,0,733.7,4,1012.8,5,1282.0,1,502.1,4,0.0,0,0.0,0,0.0,0
24,1500,0.0,0,704.2,5,0.0,0,0.0,0,0.0,0,685.2,4,0.0,0,0.0,0
25,1560,1271.0,2,647.9,3,925.8,3,1196.6,1,0.0,0,633.4,6,0.0,0,0.0,0
26,1620,1341.7,1,731.4,1,958.5,1,0.0,0,568.8,1,0.0,0,0.0,0,0.0,0
27,1680,0.0,0,0.0,0,1012.0,1,0.0,0,0.0,0,608.9,2,0.0,0,0.0,0
