,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,0.0,0,0.0,0,0.0,0,516.1,2,545.6,2,0.0,0,0.0,0
1,1200,0.0,0,703.8,25,894.0,15,0.0,0,574.6,14,577.5,14,0.0,0,0.0,0
2,1800,1342.5,14,785.3,25,955.5,14,1191.6,9,564.3,8,703.9,18,1567.3,1,1181.1,3
3,2400,1423.8,16,832.6,30,1010.6,31,1334.5,6,582.9,19,801.5,15,1575.8,2,1181.0,1
4,3000,1479.7,16,874.8,25,1004.9,27,1307.9,9,589.4,14,857.9,22,1483.9,1,1140.9,2
5,3600,1495.9,24,840.7,27,1015.1,25,1342.3,13,579.2,11,892.5,17,1544.0,2,1087.2,2
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
