,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,581.6,1,0.0,0,0.0,0,524.3,2,551.7,3,0.0,0,0.0,0
1,1200,0.0,0,667.4,25,914.5,16,1087.3,1,555.9,12,651.4,14,0.0,0,0.0,0
2,1800,1243.7,21,735.1,32,927.2,19,1202.4,9,539.5,8,745.4,19,1472.7,1,1182.1,3
3,2400,1343.5,13,745.3,38,972.2,28,1292.6,6,540.7,16,805.0,13,1529.1,2,1080.3,1
4,3000,1346.7,19,789.9,24,962.1,31,1397.8,7,539.1,9,923.2,19,1506.7,2,1152.0,2
5,3600,1404.9,27,784.3,28,952.8,24,1488.8,12,555.1,19,986.2,16,1467.5,1,1223.0,1
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
