,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,0.0,0,0.0,0,0.0,0,525.8,2,475.6,3,0.0,0,0.0,0
1,1200,0.0,0,749.1,23,915.0,8,0.0,0,530.4,14,668.4,12,0.0,0,0.0,0
2,1800,1457.1,12,936.1,29,1033.4,28,1278.3,6,557.3,12,821.0,24,1491.7,1,1208.1,2
3,2400,1612.7,14,1065.6,2,1163.8,27,1441.5,9,601.7,20,953.2,12,1463.5,2,1199.0,2
4,3000,1848.2,15,1427.9,8,1210.3,29,1532.0,6,547.2,10,1051.9,21,1451.8,2,1084.3,1
5,3600,2056.2,19,1524.8,22,1245.5,34,1787.7,15,567.3,12,1195.2,21,0.0,0,1499.5,2
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
