,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,452.7,4,0.0,0,0.0,0,438.4,2,525.0,4,0.0,0,0.0,0
1,1200,899.5,3,514.8,34,710.5,19,1027.2,2,497.1,16,560.4,15,0.0,0,1061.4,1
2,1800,979.3,26,543.2,36,739.0,28,1124.1,8,500.8,9,673.0,19,1419.6,1,1034.8,2
3,2400,986.7,12,543.7,31,736.3,23,1215.2,8,478.9,17,694.2,18,1428.4,2,1084.5,1
4,3000,1036.0,24,584.4,26,776.3,32,1228.8,8,498.9,9,764.4,23,1355.8,2,1103.0,2
5,3600,1082.6,28,571.9,26,739.7,25,1228.9,9,485.0,15,778.1,16,1338.5,2,1020.4,2
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
