,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,573.4,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,1200,0.0,0,642.0,28,899.7,13,0.0,0,583.8,15,640.6,18,0.0,0,0.0,0
2,1800,1287.3,14,699.2,30,970.2,15,1268.2,6,610.2,6,705.2,18,1724.7,1,1357.0,2
3,2400,1342.9,15,748.1,41,1062.4,29,1326.5,10,601.9,18,783.0,14,1593.5,2,1154.5,2
4,3000,1528.5,12,760.8,16,1152.9,24,1349.8,5,562.2,8,876.1,20,1583.3,1,1254.6,1
5,3600,1596.2,23,1216.1,22,1214.9,27,1430.0,14,655.3,15,882.0,18,1632.3,2,1216.4,3
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
