,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,151.8,139.0,3.00,1,151.8,1,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,120.0,100.8,3.00,2,120.0,2,116.8,73.1,4.50,4,116.8,4,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,0.0,0.0,0.00,0,0.0,0,260.4,199.4,7.45,20,260.4,20,272.6,222.3,6.13,15,272.6,15,204.8,113.4,9.33,3,204.8,3,103.0,78.9,3.36,11,103.0,11,128.8,79.1,6.00,16,128.8,16,0.0,0.0,0.00,0,0.0,0,204.8,113.4,9.33,3,204.8,3
2,1800,415.1,321.4,10.28,18,409.6,42,287.6,231.3,7.86,28,287.6,28,283.1,234.8,6.64,11,283.1,11,315.9,248.7,9.75,4,258.2,3,139.5,116.4,4.33,6,139.5,6,160.9,102.0,7.13,16,160.9,16,415.0,321.4,10.28,18,409.6,42,315.9,248.7,9.75,4,258.2,3
3,2400,436.5,338.7,10.88,16,427.8,64,289.3,229.0,7.36,25,289.3,25,291.3,240.4,6.65,23,291.3,23,310.5,227.5,8.00,8,258.2,5,121.0,99.0,3.64,14,121.0,14,124.1,70.4,5.79,14,124.1,14,436.5,338.7,10.88,16,427.8,64,310.5,227.5,8.00,8,258.2,5
4,3000,451.3,335.9,11.07,15,443.4,63,275.7,215.7,7.77,30,275.7,30,273.3,216.6,7.40,20,273.3,20,364.7,263.9,10.80,5,357.1,4,130.2,104.5,4.13,8,130.2,8,151.9,94.4,6.00,14,151.9,14,451.3,335.9,11.07,15,443.4,63,364.7,263.9,10.80,5,357.1,4
5,3600,456.3,341.2,13.41,17,504.6,41,296.0,231.6,7.67,21,296.0,21,293.3,236.2,7.48,27,293.3,27,274.8,187.3,8.67,15,256.0,12,121.6,100.3,3.00,7,121.6,7,130.0,74.6,5.37,19,130.0,19,456.3,341.2,13.41,17,504.6,41,274.8,187.3,8.67,15,256.0,12
6,Total,439.1,334.0,11.41,66,443.8,210,281.1,221.3,7.60,125,281.1,125,284.3,230.8,6.96,96,284.3,96,294.5,208.1,9.00,35,266.0,27,120.8,97.7,3.63,48,120.8,48,137.8,83.3,5.96,83,137.8,83,439.1,334.0,11.41,66,443.8,210,294.5,208.1,9.00,35,266.0,27
