,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,120,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2,180,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
3,240,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
4,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,360,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,420,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
7,480,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,449.8,2,0.0,0,0.0,0
8,540,0.0,0,0.0,0,0.0,0,0.0,0,525.8,1,0.0,0,0.0,0,0.0,0
9,600,0.0,0,0.0,0,0.0,0,0.0,0,525.7,1,527.3,1,0.0,0,0.0,0
10,660,0.0,0,616.9,2,0.0,0,0.0,0,551.1,3,579.0,1,0.0,0,0.0,0
11,720,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
12,780,0.0,0,705.6,2,0.0,0,0.0,0,584.8,3,597.9,3,0.0,0,0.0,0
13,840,0.0,0,720.5,3,0.0,0,0.0,0,474.2,2,640.4,1,0.0,0,0.0,0
14,900,0.0,0,723.7,2,0.0,0,0.0,0,517.5,3,0.0,0,0.0,0,0.0,0
15,960,0.0,0,735.2,7,0.0,0,0.0,0,475.9,2,652.2,1,0.0,0,0.0,0
16,1020,0.0,0,0.0,0,889.4,6,0.0,0,0.0,0,709.0,2,0.0,0,0.0,0
17,1080,0.0,0,774.9,2,0.0,0,0.0,0,0.0,0,719.7,3,0.0,0,0.0,0
18,1140,0.0,0,855.8,5,991.8,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
19,1200,0.0,0,0.0,0,0.0,0,0.0,0,564.9,1,778.4,1,0.0,0,0.0,0
20,1260,1246.1,1,0.0,0,995.7,11,0.0,0,498.9,4,761.9,3,0.0,0,0.0,0
21,1320,0.0,0,0.0,0,0.0,0,1234.3,3,0.0,0,783.1,5,0.0,0,1291.1,1
22,1380,0.0,0,879.4,10,1105.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
23,1440,0.0,0,0.0,0,0.0,0,0.0,0,541.1,2,812.6,3,0.0,0,0.0,0
24,1500,0.0,0,0.0,0,1085.6,4,1238.0,2,0.0,0,816.5,6,1491.7,1,1125.1,1
25,1560,0.0,0,942.4,9,1103.0,1,0.0,0,0.0,0,768.3,1,0.0,0,0.0,0
26,1620,0.0,0,0.0,0,1197.9,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
27,1680,1427.6,4,955.3,1,1038.1,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
28,1740,0.0,0,990.8,9,0.0,0,0.0,0,601.8,4,0.0,0,0.0,0,0.0,0
