,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,544.2,2,0.0,0,0.0,0,493.9,3,509.9,1,0.0,0,0.0,0
1,1200,1157.3,1,699.0,29,867.6,20,1081.2,1,513.4,14,789.8,14,0.0,0,1079.9,1
2,1800,1280.8,20,851.8,30,919.1,27,1371.5,6,492.7,14,997.4,12,1426.7,2,1081.2,1
3,2400,1479.6,14,943.4,23,1012.1,31,1546.3,5,621.2,9,1193.4,18,1186.3,1,1546.0,1
4,3000,1614.8,14,1175.0,19,1075.2,33,1772.1,8,895.7,10,1383.1,21,1448.2,2,1463.0,1
5,3600,1774.7,25,1360.1,32,1113.8,40,2000.3,14,1095.8,10,1520.0,22,1339.5,1,1570.5,2
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
