,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,505.4,5,0.0,0,0.0,0,480.9,2,524.8,2,0.0,0,0.0,0
1,1200,1097.2,1,541.0,29,842.7,17,1175.6,1,499.3,12,654.4,16,0.0,0,1174.4,1
2,1800,1130.1,24,609.0,38,870.1,16,1181.4,8,469.3,8,735.9,18,1517.2,1,1216.0,1
3,2400,1208.1,8,602.9,28,897.9,33,1146.4,8,483.1,16,783.6,16,1383.9,2,1073.1,2
4,3000,1240.6,21,627.1,32,943.1,25,1224.4,9,492.3,11,856.1,17,1453.8,2,1115.3,2
5,3600,1267.6,36,573.9,27,921.7,28,1280.0,12,489.4,13,880.7,18,1474.8,1,1153.7,2
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
