,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,138.1,103.3,8.00,1,138.1,1,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,120.3,99.4,4.00,1,120.3,1,115.9,61.8,5.00,1,115.9,1,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,427.2,332.2,15.00,1,427.2,1,293.1,219.9,9.83,24,293.1,24,301.6,243.2,8.41,17,301.6,17,0.0,0.0,0.00,0,0.0,0,154.4,127.3,3.79,14,154.4,14,217.9,159.3,6.43,14,217.9,14,427.2,332.2,15.00,1,427.2,1,0.0,0.0,0.00,0,0.0,0
2,1800,479.7,352.4,15.77,22,498.0,46,372.0,287.4,12.26,34,372.0,34,321.0,247.4,9.45,20,321.0,20,486.7,338.5,14.71,7,506.6,5,177.4,141.2,5.00,10,177.4,10,355.6,244.0,12.95,21,355.6,21,479.4,352.3,15.73,22,497.9,46,486.7,338.5,14.71,7,506.6,5
3,2400,547.0,403.4,17.85,13,508.4,61,491.9,374.5,24.20,25,491.9,25,355.3,267.5,12.08,24,355.3,24,530.5,399.3,21.43,7,590.3,5,160.7,121.0,4.35,17,160.7,17,439.3,299.8,32.67,9,439.3,9,546.9,403.4,17.85,13,508.4,61,530.5,399.3,21.43,7,590.3,5
4,3000,671.8,510.0,26.41,17,552.5,41,543.6,366.5,50.12,25,543.6,25,428.8,342.9,12.33,33,428.8,33,716.8,504.2,54.00,6,774.5,5,227.9,186.5,6.11,9,227.9,9,556.4,364.2,54.64,14,556.4,14,671.6,510.0,26.41,17,552.4,41,716.8,504.2,54.00,6,774.5,5
5,3600,767.8,527.6,57.68,28,593.9,76,636.4,437.9,52.07,30,636.4,30,362.5,275.7,10.63,24,362.5,24,797.9,543.5,67.54,13,823.8,12,187.2,149.8,5.25,12,187.2,12,622.5,412.5,63.52,21,622.5,21,767.7,527.6,57.68,28,593.9,76,797.9,543.5,67.54,13,823.8,12
6,Total,629.8,453.9,32.81,81,542.8,225,466.2,336.8,29.36,139,466.2,139,363.8,283.3,10.88,118,363.8,118,660.4,462.3,44.09,33,712.7,27,176.0,140.1,4.75,63,176.0,63,443.1,298.4,34.50,80,443.1,80,629.6,453.9,32.80,81,542.8,225,660.4,462.3,44.09,33,712.7,27
