,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,499.3,1,0.0,0,0.0,0,511.8,1,484.0,1,0.0,0,0.0,0
1,1200,1163.6,1,677.4,24,862.5,17,0.0,0,580.9,14,600.3,14,0.0,0,0.0,0
2,1800,1208.2,21,749.9,34,879.0,20,1283.5,7,615.6,10,746.0,21,1607.7,1,1387.3,2
3,2400,1278.1,10,873.6,25,906.7,24,1323.1,7,578.7,17,823.2,9,1554.1,2,1234.7,2
4,3000,1416.5,16,923.8,25,981.8,33,1537.1,6,653.3,9,945.6,14,1502.3,1,1291.6,1
5,3600,1508.9,25,1011.6,29,906.2,24,1591.2,13,627.1,12,1002.4,21,1521.8,2,1387.5,1
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
