,timeNo.:,delay1,stoped1,stops1,vehicle1,per delay1,pers1,delay2,stoped2,stops2,vehicle2,per delay2,pers2,delay3,stoped3,stops3,vehicle3,per delay3,pers3,delay4,stoped4,stops4,vehicle4,per delay4,pers4,delay5,stoped5,stops5,vehicle5,per delay5,pers5,delay6,stoped6,stops6,vehicle6,per delay6,pers6,delay7,stoped7,stops7,vehicle7,per delay7,pers7,delay8,stoped8,stops8,vehicle8,per delay8,pers8
0,600,0.0,0.0,0.00,0,0.0,0,126.0,103.5,3.00,2,126.0,2,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,194.4,177.4,4.00,1,194.4,1,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0,0.0,0.0,0.00,0,0.0,0
1,1200,248.6,159.2,9.50,2,248.6,2,226.3,154.4,9.44,34,226.3,34,222.3,159.7,7.30,20,222.3,20,316.9,261.0,4.00,1,0.0,0,156.7,117.2,5.08,13,156.7,13,223.2,161.3,6.55,20,223.2,20,248.6,159.2,9.50,2,248.6,2,316.9,261.0,4.00,1,0.0,0
2,1800,391.2,262.5,14.81,26,409.1,74,273.9,195.6,10.87,31,273.9,31,245.9,180.0,7.05,21,245.9,21,395.2,277.8,12.00,10,455.7,8,148.3,110.6,5.14,7,148.3,7,255.7,179.4,8.53,19,255.7,19,391.1,262.5,14.77,26,409.1,74,395.2,277.8,12.00,10,455.7,8
3,2400,468.2,339.2,14.86,14,446.3,62,304.3,214.7,13.21,29,304.3,29,300.4,231.4,7.65,26,300.4,26,468.9,339.0,17.43,7,502.0,6,173.0,122.0,6.43,14,173.0,14,303.2,202.9,13.50,14,303.2,14,461.5,329.5,15.44,16,445.3,64,468.9,339.0,17.43,7,502.0,6
4,3000,480.2,330.1,17.05,22,432.3,70,360.8,248.4,22.48,31,360.8,31,321.1,243.4,9.59,27,321.1,27,445.4,299.0,22.00,8,514.7,6,150.3,113.5,4.50,6,150.3,6,375.8,245.9,25.42,24,375.8,24,486.7,337.0,16.80,20,432.8,68,445.4,299.0,22.00,8,514.7,6
5,3600,521.8,359.9,24.72,25,441.4,49,375.5,249.5,29.91,23,375.5,23,328.4,259.7,8.57,23,328.4,23,477.0,342.1,19.42,12,516.2,10,141.1,105.9,4.67,12,141.1,12,315.8,219.9,14.22,18,315.8,18,521.6,359.9,24.72,25,441.3,49,477.0,342.1,19.42,12,516.2,10
6,Total,458.8,316.3,18.03,89,429.3,257,300.6,207.9,16.21,150,300.6,150,287.5,218.2,8.11,117,287.5,117,443.1,313.4,17.24,38,496.9,30,156.4,115.8,5.26,53,156.4,53,297.6,203.5,14.19,95,297.6,95,458.7,316.3,18.02,89,429.3,257,443.1,313.4,17.24,38,496.9,30
