,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,600,0.0,0,0.0,0,0.0,0,0.0,0,490.8,6,0.0,0,0.0,0,0.0,0
1,1200,0.0,0,689.5,25,905.8,11,0.0,0,559.6,11,752.2,15,0.0,0,0.0,0
2,1800,1298.6,15,806.8,35,1012.6,21,1330.6,6,540.3,10,867.3,18,1450.7,1,1358.7,2
3,2400,1469.1,21,885.3,31,1080.1,40,1491.8,8,521.3,18,1031.1,15,1466.6,2,1352.0,1
4,3000,1707.3,10,988.0,30,1182.4,23,1575.6,7,579.5,6,1145.3,14,1445.0,2,1476.6,2
5,3600,1728.8,31,970.8,33,1136.6,30,1820.1,11,665.3,14,1348.8,22,1445.5,1,0.0,0
6,3600,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
