speed,LinkName,TQDelay
0.0,ci1,125.40652331718036
0.0,ci10,98.0655001305824
0.0,ci11,69.0683066799296
0.0,ci12,54.09310440321241
0.0,ci13,32.35421478713768
0.0,ci2,81.30829570378016
0.0,ci3,81.66050773107676
0.0,ci4,164.674104382615
0.0,ci5,149.72970953581768
0.0,ci6,87.33360724233984
0.0,ci7,80.07723324278223
0.0,ci8,76.22331797235023
0.0,ci9,70.38632153651164
0.0,co1,24.368784643810304
0.0,co10,137.30015633257003
0.0,co11,96.57757847533632
0.0,co12,155.66206896551722
0.0,co13,158.65952511817082
0.0,co2,59.59637495248955
0.0,co3,87.45929941860464
0.0,co4,111.79865940511102
0.0,co5,103.37036809815952
0.0,co6,151.05885739719736
0.0,co7,162.64626396648046
0.0,co8,178.17758538104135
0.0,co9,140.12872078311247
10.0,ci1,107.68030680622473
10.0,ci10,74.03029453015428
10.0,ci11,52.34884162552222
10.0,ci12,40.55541082164329
10.0,ci13,24.92411881188119
10.0,ci2,74.76938775510204
10.0,ci3,94.37148268398268
10.0,ci4,148.53696335078536
10.0,ci5,113.0623897229531
10.0,ci6,66.1786329386437
10.0,ci7,54.8612680612465
10.0,ci8,58.88504622077216
10.0,ci9,62.190131578947366
10.0,co1,19.432579625577436
10.0,co10,146.16396274966306
10.0,co11,158.57790262172287
10.0,co12,200.1014492753623
10.0,co13,153.93526955201216
10.0,co2,47.76147660818714
10.0,co3,86.83476821192053
10.0,co4,100.38511220580186
10.0,co5,87.21000986193293
10.0,co6,124.86143943109367
10.0,co7,159.59300556043314
10.0,co8,155.7559275053305
10.0,co9,115.83162048082217
20.0,ci1,95.52065501582496
20.0,ci10,64.52405793884233
20.0,ci11,44.99217154526889
20.0,ci12,37.053001200480196
20.0,ci13,15.13792732166891
20.0,ci2,77.30135157965873
20.0,ci3,86.44061121856866
20.0,ci4,153.84904559915165
20.0,ci5,103.01124207858048
20.0,ci6,78.9538423208947
20.0,ci7,49.38749083801613
20.0,ci8,47.27329091123344
20.0,ci9,61.80916784203102
20.0,co1,27.41480801510701
20.0,co10,138.43612283007124
20.0,co11,221.6672748004561
20.0,co12,247.94646017699117
20.0,co13,156.12146184163382
20.0,co2,42.68144052489956
20.0,co3,90.13894297635605
20.0,co4,76.25005615033317
20.0,co5,92.39341947259715
20.0,co6,107.96827091088659
20.0,co7,159.22362620109274
20.0,co8,109.42521624588365
20.0,co9,126.0181570276105
30.0,ci1,89.72469012439933
30.0,ci10,65.70665749182866
30.0,ci11,45.68697691820641
30.0,ci12,35.669394618834076
30.0,ci13,6.7470130506709145
30.0,ci2,84.36154483110045
30.0,ci3,82.83588726268148
30.0,ci4,145.0751818970696
30.0,ci5,127.10057315233786
30.0,ci6,83.58523914433941
30.0,ci7,43.5492935846224
30.0,ci8,47.04782174260591
30.0,ci9,55.95712611345523
30.0,co1,30.135966040161858
30.0,co10,126.89591494478373
30.0,co11,153.48576115827302
30.0,co12,159.53291731669268
30.0,co13,129.3287838663679
30.0,co2,41.73231137724551
30.0,co3,95.38135695590901
30.0,co4,74.16002001273537
30.0,co5,81.29989914271306
30.0,co6,96.14274298056156
30.0,co7,139.22071817527998
30.0,co8,129.54093824984085
30.0,co9,139.26154509728744
40.0,ci1,71.18777992277992
40.0,ci10,66.45867403314917
40.0,ci11,45.65886154610987
40.0,ci12,40.586108045614594
40.0,ci13,13.73091420683797
40.0,ci2,51.60219292158223
40.0,ci3,79.81150298426479
40.0,ci4,85.82543200601052
40.0,ci5,134.24074074074073
40.0,ci6,58.133518518518514
40.0,ci7,35.83589743589744
40.0,ci8,52.943851717902355
40.0,ci9,59.46771609276177
40.0,co1,24.38088661551577
40.0,co10,96.63265372168286
40.0,co11,129.6907811741873
40.0,co12,137.54785709893622
40.0,co13,151.53927353638096
40.0,co2,42.74371523915462
40.0,co3,53.526257545271626
40.0,co4,23.390587835541965
40.0,co5,19.429952203929897
40.0,co6,89.90102040816326
40.0,co7,130.86917740336966
40.0,co8,50.55544262295082
40.0,co9,84.97406832298137
50.0,ci1,143.0963190184049
50.0,ci10,125.38888888888889
50.0,ci11,51.98970588235294
50.0,ci12,47.4763202725724
50.0,ci13,37.90273609885261
50.0,ci2,53.55813953488372
50.0,ci3,13.200000000000001
50.0,ci4,72.92222222222222
50.0,ci6,105.7
50.0,ci7,73.668
50.0,ci8,6.034782608695653
50.0,ci9,0.1
50.0,co1,52.24166666666667
50.0,co10,0.1
50.0,co11,64.54285714285713
50.0,co12,121.88760571595216
50.0,co13,170.68132172536605
50.0,co3,0.0
50.0,co4,0.19999999999999998
50.0,co5,23.577777777777776
50.0,co6,119.72857142857143
50.0,co7,219.965625
50.0,co8,65.47
