speed,LinkName,TQDelay
0.0,ci1,141.31489675516224
0.0,ci10,87.1282535229229
0.0,ci11,66.19692620812023
0.0,ci12,55.34149659863945
0.0,ci13,30.9696989163222
0.0,ci2,72.08392984330484
0.0,ci3,112.26518552957847
0.0,ci4,209.43841561423653
0.0,ci5,199.77739395378285
0.0,ci6,98.52492368944924
0.0,ci7,77.74933961242829
0.0,ci8,92.68802153985284
0.0,ci9,68.0957219922218
0.0,co1,23.19391011235955
0.0,co10,162.3807366174435
0.0,co11,154.22277992277992
0.0,co12,348.586320754717
0.0,co13,198.4384209452914
0.0,co2,91.04426042733067
0.0,co3,127.50630127739122
0.0,co4,136.49161192521476
0.0,co5,111.14382526005137
0.0,co6,167.25941950236592
0.0,co7,281.3156956776012
0.0,co8,301.48575052317835
0.0,co9,196.8676643668831
10.0,ci1,126.89874444659068
10.0,ci10,74.14746998284734
10.0,ci11,50.95681277607883
10.0,ci12,38.49039958484691
10.0,ci13,26.086686009026433
10.0,ci2,77.69006126616746
10.0,ci3,105.34859910065721
10.0,ci4,200.74730517115805
10.0,ci5,158.3763379796937
10.0,ci6,74.41984511132624
10.0,ci7,67.27575950711706
10.0,ci8,76.81550060313631
10.0,ci9,65.01602870813397
10.0,co1,17.552038009502375
10.0,co10,157.50375521557717
10.0,co11,207.81532738095237
10.0,co12,280.29136960600374
10.0,co13,181.41036945048123
10.0,co2,74.42498857229926
10.0,co3,120.85414269275029
10.0,co4,114.82839305103148
10.0,co5,100.92698768197089
10.0,co6,135.8294653639258
10.0,co7,219.9847789725209
10.0,co8,246.18808997050147
10.0,co9,203.19303806629034
20.0,ci1,122.47789420068398
20.0,ci10,67.34669622012959
20.0,ci11,46.6140599232893
20.0,ci12,38.1998426038666
20.0,ci13,34.15082403742353
20.0,ci2,105.0535742340927
20.0,ci3,109.20881930964639
20.0,ci4,190.81182954059577
20.0,ci5,149.64420821521873
20.0,ci6,78.67777158956886
20.0,ci7,65.25190834739712
20.0,ci8,56.51447335002358
20.0,ci9,76.28688775510203
20.0,co1,25.75875413907285
20.0,co10,148.79656896940298
20.0,co11,182.0220045385779
20.0,co12,176.65005208132402
20.0,co13,207.60461821787788
20.0,co2,50.02454134268435
20.0,co3,127.32803571428572
20.0,co4,79.33988771737643
20.0,co5,104.22488580612418
20.0,co6,119.11462732690751
20.0,co7,136.41132458129798
20.0,co8,182.57503177728486
20.0,co9,188.4285046594982
30.0,ci1,98.71718113347326
30.0,ci10,62.583571236197145
30.0,ci11,49.80199163179917
30.0,ci12,44.76041331019953
30.0,ci13,20.360329290887652
30.0,ci2,98.12545593201874
30.0,ci3,66.76157849089333
30.0,ci4,131.64424686192467
30.0,ci5,137.73318465655663
30.0,ci6,79.88520939734423
30.0,ci7,58.449774416816204
30.0,ci8,52.81139068438427
30.0,ci9,60.64806491885143
30.0,co1,29.682547465437786
30.0,co10,107.94685889175257
30.0,co11,172.34850619970297
30.0,co12,141.86736967269542
30.0,co13,173.93397850270594
30.0,co2,42.73100083512813
30.0,co3,130.5983150274588
30.0,co4,68.90714782205747
30.0,co5,100.8796123517727
30.0,co6,114.39899736682194
30.0,co7,137.35372408201087
30.0,co8,125.1777306568655
30.0,co9,131.51622377622377
40.0,ci1,93.5908391265371
40.0,ci10,66.535
40.0,ci11,53.45079726651481
40.0,ci12,43.900680628272255
40.0,ci13,2.6015325670498086
40.0,ci2,46.63425551756295
40.0,ci3,27.568608799048754
40.0,ci4,84.03234358430541
40.0,ci5,174.14761904761903
40.0,ci6,48.60433962264151
40.0,ci7,42.16705353800075
40.0,ci8,59.97711346833815
40.0,ci9,61.07488019454975
40.0,co1,20.67716246709289
40.0,co10,113.51461988304094
40.0,co11,118.850521609538
40.0,co12,68.12828784119107
40.0,co13,57.646610169491524
40.0,co2,39.48280922431866
40.0,co3,125.72922807894079
40.0,co4,106.30061308809809
40.0,co5,46.75996425379804
40.0,co6,106.63652903366379
40.0,co7,151.1215431094585
40.0,co8,67.89647018505826
40.0,co9,78.87728459530027
50.0,ci1,3.686046511627907
50.0,ci10,110.25714285714285
50.0,ci11,79.25
50.0,ci12,59.41428571428571
50.0,ci13,0.2832853025936599
50.0,ci2,45.6764705882353
50.0,ci3,29.225
50.0,ci4,0.5333333333333333
50.0,ci6,0.0
50.0,ci7,52.25833333333333
50.0,ci8,71.18426966292134
50.0,ci9,55.173194614443084
50.0,co1,40.871875
50.0,co10,0.0
50.0,co11,28.13333333333333
50.0,co12,0.0
50.0,co13,70.64789915966387
50.0,co3,123.34880952380952
50.0,co4,140.9806451612903
50.0,co5,2.741666666666667
50.0,co7,0.05
50.0,co8,43.31212121212121
50.0,co9,7.340000000000001
