speed,LinkName,TQDelay
0.0,ci1,119.7000149086843
0.0,ci10,99.81012162876785
0.0,ci11,85.17395385453885
0.0,ci12,70.90217007317689
0.0,ci13,45.0288316735487
0.0,ci2,74.64157606369318
0.0,ci3,87.39225149238217
0.0,ci4,175.5366768940288
0.0,ci5,145.10979070468943
0.0,ci6,68.0648106060606
0.0,ci7,75.55837411151194
0.0,ci8,69.47178872699386
0.0,ci9,99.16477283975057
0.0,co1,29.08306336774653
0.0,co10,132.24518584578144
0.0,co11,134.50568720379147
0.0,co12,254.05486725663718
0.0,co13,155.78493013136975
0.0,co2,75.33264004288394
0.0,co3,110.49805898401975
0.0,co4,131.3784768766756
0.0,co5,114.50961085536879
0.0,co6,159.18603382604198
0.0,co7,173.24346956463762
0.0,co8,195.41802132317173
0.0,co9,133.7062876893661
10.0,ci1,105.30357025065963
10.0,ci10,79.5858152894388
10.0,ci11,67.79400409476456
10.0,ci12,58.21945863125638
10.0,ci13,38.16548937443879
10.0,ci2,77.03587273788675
10.0,ci3,83.84634939402898
10.0,ci4,152.75487804878048
10.0,ci5,113.12090197540067
10.0,ci6,51.49945429740791
10.0,ci7,49.72762612301313
10.0,ci8,77.49673826571201
10.0,ci9,89.06313703284258
10.0,co1,21.673350694444444
10.0,co10,143.99908360128617
10.0,co11,164.94609164420484
10.0,co12,235.70062893081763
10.0,co13,162.5873482272948
10.0,co2,63.18335825968729
10.0,co3,106.22409862142099
10.0,co4,115.47358255451714
10.0,co5,97.00617868076816
10.0,co6,129.2682443671556
10.0,co7,157.92708091045023
10.0,co8,178.70828157349897
10.0,co9,145.98266717909303
20.0,ci1,108.00476948741279
20.0,ci10,72.64416425794877
20.0,ci11,62.526937774893646
20.0,ci12,52.84786851566513
20.0,ci13,27.758522500995618
20.0,ci2,97.03083758003397
20.0,ci3,84.75499458986579
20.0,ci4,165.9242599042229
20.0,ci5,108.54352836879433
20.0,ci6,76.34020315561513
20.0,ci7,44.280979487283744
20.0,ci8,84.1803073190457
20.0,ci9,84.39310280373832
20.0,co1,29.78752254228201
20.0,co10,148.55757954545453
20.0,co11,156.7107995899539
20.0,co12,137.3128062746132
20.0,co13,173.73611525174053
20.0,co2,46.190023018438
20.0,co3,109.7265838650866
20.0,co4,83.28832439990678
20.0,co5,96.27666947014299
20.0,co6,113.89047924440298
20.0,co7,147.63044637638808
20.0,co8,141.1610115560955
20.0,co9,138.47127803488786
30.0,ci1,89.90334423845874
30.0,ci10,79.94319775596072
30.0,ci11,66.71686993469194
30.0,ci12,58.3463284912443
30.0,ci13,34.5193472629943
30.0,ci2,79.42813161353561
30.0,ci3,78.86698017285207
30.0,ci4,142.18437444321705
30.0,ci5,114.95527018535972
30.0,ci6,71.27897629141152
30.0,ci7,42.705490320533166
30.0,ci8,68.88925839028869
30.0,ci9,79.12665267038763
30.0,co1,33.59907680471855
30.0,co10,124.41363114816798
30.0,co11,141.59042160869132
30.0,co12,110.5712708568561
30.0,co13,145.25903250188966
30.0,co2,44.65657722122838
30.0,co3,114.86578547198502
30.0,co4,71.36763815789475
30.0,co5,92.98713904931142
30.0,co6,102.76137251774465
30.0,co7,149.61643219557195
30.0,co8,107.84700482634618
30.0,co9,134.80680337498666
40.0,ci1,80.80575194727382
40.0,ci10,75.53629943502824
40.0,ci11,68.97368421052632
40.0,ci12,64.18969364264211
40.0,ci13,6.51634792004322
40.0,ci2,47.022731453096256
40.0,ci3,30.538575152041705
40.0,ci4,81.89183230936032
40.0,ci5,136.71764705882353
40.0,ci6,41.52658610271903
40.0,ci7,47.31645979492714
40.0,ci8,60.67186050875171
40.0,ci9,19.54830188679245
40.0,co1,22.426443737819262
40.0,co10,82.96539310954063
40.0,co11,104.83296378418329
40.0,co12,60.134246575342466
40.0,co13,77.74808445798868
40.0,co2,41.18693181818182
40.0,co3,112.15906655034895
40.0,co4,95.05165416307958
40.0,co5,38.49764167546638
40.0,co6,45.02130065975495
40.0,co7,91.44194792671168
40.0,co8,44.3662860250136
40.0,co9,101.91717791411043
50.0,ci1,11.382857142857143
50.0,ci10,26.214285714285715
50.0,ci11,69.35000000000001
50.0,ci12,77.62857142857142
50.0,ci13,0.08908554572271386
50.0,ci2,24.854545454545452
50.0,ci3,104.8875
50.0,ci4,60.252631578947366
50.0,ci6,61.86666666666667
50.0,ci7,40.17391304347826
50.0,ci8,30.588888888888885
50.0,ci9,18.275
50.0,co1,60.79512195121951
50.0,co10,0.0
50.0,co11,49.61666666666667
50.0,co13,86.09148936170213
50.0,co3,110.30392156862744
50.0,co4,123.82511013215858
50.0,co5,3.09
50.0,co6,0.43333333333333335
50.0,co7,45.166666666666664
50.0,co8,31.314705882352943
50.0,co9,7.333333333333332
