Node,Movement,aveQueue,PersDelay(All),Stops(All)
1.0,E-N,0.1416666666666667,29.46666666666667,2.2016666666666667
1.0,E-S,3.65,18.775000000000002,1.5141666666666664
1.0,E-W,41.516666666666666,25.316666666666666,1.8791666666666667
1.0,N-E,31.366666666666664,39.925000000000004,1.6941666666666666
1.0,N-S,31.366666666666664,61.68333333333334,1.6933333333333334
1.0,N-W,31.366666666666664,2.15,0.085
1.0,S-E,15.483333333333334,1.0583333333333333,0.10583333333333333
1.0,S-N,15.483333333333334,38.36666666666667,1.065
1.0,S-W,15.483333333333334,34.233333333333334,0.9616666666666666
1.0,W-E,26.183333333333334,29.59166666666667,0.9133333333333334
1.0,W-N,26.183333333333334,27.11666666666667,0.8883333333333333
1.0,W-S,0.016666666666666666,26.03333333333333,0.9216666666666667
2.0,E-S,30.566666666666666,36.166666666666664,1.0816666666666668
2.0,E-W,30.566666666666666,25.650000000000002,1.2966666666666666
2.0,N-E,34.56666666666667,36.516666666666666,1.285
2.0,N-S,3.15,38.300000000000004,1.4100000000000001
2.0,N-W,0.0,7.5,0.5216666666666666
2.0,S-E,6.483333333333333,30.71666666666667,0.9883333333333333
2.0,S-W,6.483333333333333,30.833333333333332,0.9166666666666666
2.0,W-E,22.8,19.916666666666668,1.085
2.0,W-S,0.0,21.599999999999998,0.965
3.0,E-N,0.16666666666666666,2.55,0.13999999999999999
3.0,E-S,21.849999999999998,25.933333333333334,0.8266666666666667
3.0,E-W,21.849999999999998,34.800000000000004,1.1199999999999999
3.0,N-E,30.133333333333336,0.0,0.0
3.0,N-S,30.133333333333336,49.35,1.3866666666666667
3.0,N-W,0.45,2.316666666666667,0.12833333333333333
3.0,NE-E,30.133333333333336,0.0,0.0
3.0,NE-S,30.133333333333336,49.75,1.3883333333333334
3.0,NE-W,0.4833333333333334,1.9166666666666667,0.05333333333333334
3.0,S-E,0.5666666666666667,3.1999999999999997,0.14833333333333334
3.0,S-N,41.71666666666667,52.81666666666666,1.6033333333333335
3.0,S-W,41.71666666666667,40.6,1.1733333333333333
3.0,W-E,24.150000000000002,22.95,1.3466666666666667
3.0,W-N,24.150000000000002,30.116666666666664,0.9933333333333333
3.0,W-S,1.0333333333333334,8.033333333333333,0.4983333333333333
4.0,E-N,0.0,0.9,0.013333333333333334
4.0,E-S,14.216666666666669,18.7,0.5016666666666666
4.0,E-W,14.216666666666669,19.2,1.0066666666666666
4.0,N-E,12.850000000000001,33.766666666666666,0.955
4.0,N-S,12.850000000000001,27.333333333333332,0.8216666666666667
4.0,N-W,0.0,0.8333333333333334,0.023333333333333334
4.0,S-E,0.0,1.4666666666666668,0.01
4.0,S-N,10.6,26.28333333333333,0.7916666666666666
4.0,S-W,10.6,32.233333333333334,1.0333333333333334
4.0,W-E,3.983333333333333,15.075000000000001,0.2733333333333333
4.0,W-N,8.05,27.05,1.1783333333333335
4.0,W-S,0.0,0.08333333333333333,0.0
5.0,E-N,22.041666666666668,82.45,5.385000000000001
5.0,E-S,59.416666666666664,82.75833333333334,3.749166666666666
5.0,E-W,4.25,100.10555555555555,7.078055555555555
5.0,N-E,21.483333333333334,30.45,0.8016666666666667
5.0,N-S,21.483333333333334,18.033333333333335,0.6916666666666668
5.0,N-W,0.06666666666666667,0.7944444444444445,0.012222222222222223
5.0,S-E,0.0,0.85,0.03666666666666667
5.0,S-N,22.55,15.049999999999999,0.65
5.0,S-W,22.549999999999997,32.644444444444446,0.8938888888888888
5.0,W-E,15.600000000000001,3.9111111111111114,0.15694444444444444
5.0,W-N,15.600000000000001,13.366666666666667,0.4172222222222222
5.0,W-S,0.0,0.2833333333333333,0.003333333333333333
6.0,E-N,0.0,48.083333333333336,0.7683333333333334
6.0,E-S,39.68333333333333,63.76666666666667,1.015
6.0,E-W,39.68333333333333,65.10000000000001,1.1133333333333333
6.0,N-E,30.78333333333333,49.550000000000004,1.68
6.0,N-S,30.78333333333333,48.65,1.6633333333333333
6.0,N-W,1.4000000000000001,48.21666666666667,1.7666666666666666
6.0,S-E,0.15,43.35,1.3983333333333334
6.0,S-N,31.816666666666666,49.583333333333336,1.58
6.0,S-W,31.816666666666666,51.36666666666667,1.8333333333333333
6.0,W-E,33.43333333333333,56.65,0.9683333333333334
6.0,W-N,33.43333333333333,43.4,1.335
6.0,W-S,0.03333333333333333,40.71666666666666,1.0116666666666667
7.0,E-N,0.0,0.2833333333333334,0.0
7.0,E-S,11.700000000000001,34.949999999999996,1.1283333333333334
7.0,E-W,11.700000000000001,15.241666666666667,0.46749999999999997
7.0,N-E,17.566666666666666,8.755555555555555,0.3244444444444444
7.0,N-S,17.566666666666666,9.538888888888888,0.3255555555555556
7.0,N-W,1.9722222222222223,0.4666666666666667,0.03361111111111111
7.0,S-E,0.0,5.016666666666667,0.07333333333333335
7.0,S-N,18.566666666666666,29.5,0.89
7.0,S-W,18.566666666666666,34.550000000000004,1.0825
7.0,W-E,40.333333333333336,35.03333333333333,1.1241666666666668
7.0,W-N,40.333333333333336,16.258333333333333,0.595
7.0,W-S,0.0,16.96666666666667,0.18666666666666668
8.0,E-NW,0.0,3.0,0.10333333333333333
8.0,E-SE,8.383333333333333,18.966666666666665,0.54
8.0,E-W,8.383333333333333,18.083333333333332,0.6583333333333333
8.0,NW-E,6.283333333333334,25.900000000000002,0.8650000000000001
8.0,NW-SE,6.283333333333334,19.566666666666666,0.7816666666666667
8.0,NW-W,0.0,8.65,0.4083333333333334
8.0,SE-E,0.0,12.133333333333333,0.5083333333333334
