Node,Movement,aveQueue,PersDelay(All),Stops(All)
10.0,NE-W,18.8,13.0,0.4383333333333333
10.0,NW-NE,22.75,61.86666666666667,1.1516666666666666
10.0,NW-SE,22.75,61.26666666666667,1.0683333333333334
10.0,NW-W,0.0,3.633333333333333,0.19166666666666665
10.0,SE-NE,0.0,17.75,0.5716666666666667
10.0,SE-NW,32.666666666666664,85.43333333333334,1.4916666666666665
10.0,SE-W,32.666666666666664,90.86666666666667,1.5350000000000001
10.0,SW-NE,18.833333333333332,10.933333333333332,0.48666666666666664
10.0,SW-NW,18.833333333333332,38.6,1.5666666666666667
10.0,SW-SE,1.1833333333333333,5.6499999999999995,0.37166666666666665
11.0,NE-NW,3.6666666666666665,1.2,0.06833333333333334
11.0,NE-SW,3.6666666666666665,6.516666666666667,0.335
11.0,NW-SW,5.3500000000000005,34.78333333333333,0.8066666666666666
11.0,SW-NE,0.0,0.21666666666666667,0.0
12.0,NE-NW,0.0,29.416666666666668,0.7949999999999999
12.0,NE-SE,32.083333333333336,49.6,0.9700000000000001
12.0,NE-SW,32.083333333333336,41.43333333333333,0.8966666666666666
12.0,NW-NE,29.816666666666666,54.73333333333333,1.1416666666666666
12.0,NW-SE,29.816666666666666,47.9,0.9883333333333333
12.0,NW-SW,0.016666666666666666,38.03333333333334,0.9716666666666667
12.0,SE-NE,0.18333333333333335,49.68333333333334,1.595
12.0,SE-NW,45.48333333333333,58.699999999999996,1.425
12.0,SE-SW,45.48333333333333,56.133333333333326,1.2716666666666667
12.0,SW-NE,23.733333333333334,37.01666666666667,0.8983333333333333
12.0,SW-NW,23.733333333333334,34.86666666666667,1.06
12.0,SW-SE,0.45,27.95,0.9916666666666667
