,date,time,name,origin,destination,distance,duration,speed
45,2023-03-07,22:34:40,中三三路与兴中道交叉口,"113.39785,22.518781","113.399844,22.518576",206,37,20.043243243243243
46,2023-03-07,22:34:40,中三四路与起湾道交叉口,"113.399844,22.518576","113.402728,22.518351",301,58,18.682758620689654
47,2023-03-07,22:34:40,中三四路与东文路交叉口,"113.403307,22.518313","113.408221,22.517863",508,53,34.505660377358495
48,2023-03-07,22:34:40,中三四路与后塘路交叉口,"113.40982,22.518213","113.41795,22.520392",872,91,34.496703296703295
49,2023-03-07,22:34:40,中三五路与长江路,"113.418785,22.520625","113.426641,22.523204",861,91,34.06153846153846
50,2023-03-07,22:34:40,中山六路-上陂头路（T型口）,"113.428487,22.523968","113.432335,22.525481",433,48,32.475
51,2023-03-07,22:34:41,中三五路与濠东路人行横道,"113.433242,22.525827","113.438362,22.52924",666,81,29.599999999999998
52,2023-03-07,22:35:11,中三二路与悦来南路交叉口,"113.371974,22.519177","113.374265,22.519394",238,39,21.96923076923077
53,2023-03-07,22:35:11,中三二路与民生路交叉口,"113.375752,22.519498","113.38199,22.519653",643,73,31.709589041095892
54,2023-03-07,22:35:11,中三二路与华柏路交叉口,"113.383365,22.519686","113.386675,22.519707",344,56,22.114285714285717
55,2023-03-07,22:35:11,中三二路与华苑大街交叉口,"113.388121,22.519578","113.389869,22.519423",183,46,14.321739130434782
56,2023-03-07,22:35:11,中三三路与兴中道交叉口,"113.390502,22.519369","113.392096,22.519219",167,42,14.314285714285715
57,2023-03-07,22:35:11,中三四路与库充大街人行横道,"113.392887,22.519152","113.396592,22.518856",385,55,25.2
58,2023-03-07,22:35:11,中三三路与兴中道交叉口,"113.39785,22.518781","113.399844,22.518576",206,39,19.015384615384615
59,2023-03-07,22:35:11,中三四路与起湾道交叉口,"113.399844,22.518576","113.402728,22.518351",301,55,19.701818181818183
60,2023-03-07,22:35:11,中三四路与东文路交叉口,"113.403307,22.518313","113.408221,22.517863",508,53,34.505660377358495
61,2023-03-07,22:35:12,中三四路与后塘路交叉口,"113.40982,22.518213","113.41795,22.520392",872,91,34.496703296703295
62,2023-03-07,22:35:12,中三五路与长江路,"113.418785,22.520625","113.426641,22.523204",861,92,33.69130434782608
63,2023-03-07,22:35:12,中山六路-上陂头路（T型口）,"113.428487,22.523968","113.432335,22.525481",433,48,32.475
64,2023-03-07,22:35:12,中三五路与濠东路人行横道,"113.433242,22.525827","113.438362,22.52924",666,81,29.599999999999998
65,2023-03-07,22:35:42,中三二路与悦来南路交叉口,"113.371974,22.519177","113.374265,22.519394",238,39,21.96923076923077
66,2023-03-07,22:35:42,中三二路与民生路交叉口,"113.375752,22.519498","113.38199,22.519653",643,73,31.709589041095892
67,2023-03-07,22:35:42,中三二路与华柏路交叉口,"113.383365,22.519686","113.386675,22.519707",344,56,22.114285714285717
68,2023-03-07,22:35:42,中三二路与华苑大街交叉口,"113.388121,22.519578","113.389869,22.519423",183,46,14.321739130434782
69,2023-03-07,22:35:42,中三三路与兴中道交叉口,"113.390502,22.519369","113.392096,22.519219",167,42,14.314285714285715
70,2023-03-07,22:35:42,中三四路与库充大街人行横道,"113.392887,22.519152","113.396592,22.518856",385,55,25.2
71,2023-03-07,22:35:43,中三三路与兴中道交叉口,"113.39785,22.518781","113.399844,22.518576",206,39,19.015384615384615
72,2023-03-07,22:35:43,中三四路与起湾道交叉口,"113.399844,22.518576","113.402728,22.518351",301,55,19.701818181818183
73,2023-03-07,22:35:43,中三四路与东文路交叉口,"113.403307,22.518313","113.408221,22.517863",508,53,34.505660377358495
74,2023-03-07,22:35:43,中三四路与后塘路交叉口,"113.40982,22.518213","113.41795,22.520392",872,91,34.496703296703295
75,2023-03-07,22:35:43,中三五路与长江路,"113.418785,22.520625","113.426641,22.523204",861,92,33.69130434782608
76,2023-03-07,22:35:43,中山六路-上陂头路（T型口）,"113.428487,22.523968","113.432335,22.525481",433,48,32.475
77,2023-03-07,22:35:43,中三五路与濠东路人行横道,"113.433242,22.525827","113.438362,22.52924",666,81,29.599999999999998
78,2023-03-07,22:36:13,中三二路与悦来南路交叉口,"113.371974,22.519177","113.374265,22.519394",238,33,25.963636363636365
79,2023-03-07,22:36:13,中三二路与民生路交叉口,"113.375752,22.519498","113.38199,22.519653",643,73,31.709589041095892
80,2023-03-07,22:36:13,中三二路与华柏路交叉口,"113.383365,22.519686","113.386675,22.519707",344,56,22.114285714285717
81,2023-03-07,22:36:13,中三二路与华苑大街交叉口,"113.388121,22.519578","113.389869,22.519423",183,46,14.321739130434782
82,2023-03-07,22:36:14,中三三路与兴中道交叉口,"113.390502,22.519369","113.392096,22.519219",167,42,14.314285714285715
83,2023-03-07,22:36:14,中三四路与库充大街人行横道,"113.392887,22.519152","113.396592,22.518856",385,55,25.2
84,2023-03-07,22:36:14,中三三路与兴中道交叉口,"113.39785,22.518781","113.399844,22.518576",206,39,19.015384615384615
85,2023-03-07,22:36:14,中三四路与起湾道交叉口,"113.399844,22.518576","113.402728,22.518351",301,55,19.701818181818183
86,2023-03-07,22:36:14,中三四路与东文路交叉口,"113.403307,22.518313","113.408221,22.517863",508,53,34.505660377358495
87,2023-03-07,22:36:14,中三四路与后塘路交叉口,"113.40982,22.518213","113.41795,22.520392",872,91,34.496703296703295
88,2023-03-07,22:36:14,中三五路与长江路,"113.418785,22.520625","113.426641,22.523204",861,92,33.69130434782608
89,2023-03-07,22:36:14,中山六路-上陂头路（T型口）,"113.428487,22.523968","113.432335,22.525481",433,48,32.475
90,2023-03-07,22:36:14,中三五路与濠东路人行横道,"113.433242,22.525827","113.438362,22.52924",666,81,29.599999999999998
91,2023-03-07,22:36:44,中三二路与悦来南路交叉口,"113.371974,22.519177","113.374265,22.519394",238,39,21.96923076923077
92,2023-03-07,22:36:44,中三二路与民生路交叉口,"113.375752,22.519498","113.38199,22.519653",643,74,31.281081081081084
93,2023-03-07,22:36:45,中三二路与华柏路交叉口,"113.383365,22.519686","113.386675,22.519707",344,53,23.36603773584906
94,2023-03-07,22:36:45,中三二路与华苑大街交叉口,"113.388121,22.519578","113.389869,22.519423",183,46,14.321739130434782
95,2023-03-07,22:36:45,中三三路与兴中道交叉口,"113.390502,22.519369","113.392096,22.519219",167,42,14.314285714285715
96,2023-03-07,22:36:45,中三四路与库充大街人行横道,"113.392887,22.519152","113.396592,22.518856",385,55,25.2
97,2023-03-07,22:36:45,中三三路与兴中道交叉口,"113.39785,22.518781","113.399844,22.518576",206,39,19.015384615384615
98,2023-03-07,22:36:45,中三四路与起湾道交叉口,"113.399844,22.518576","113.402728,22.518351",301,55,19.701818181818183
99,2023-03-07,22:36:45,中三四路与东文路交叉口,"113.403307,22.518313","113.408221,22.517863",508,53,34.505660377358495
100,2023-03-07,22:36:45,中三四路与后塘路交叉口,"113.40982,22.518213","113.41795,22.520392",872,91,34.496703296703295
101,2023-03-07,22:36:45,中三五路与长江路,"113.418785,22.520625","113.426641,22.523204",861,92,33.69130434782608
102,2023-03-07,22:36:45,中山六路-上陂头路（T型口）,"113.428487,22.523968","113.432335,22.525481",433,48,32.475
103,2023-03-07,22:36:45,中三五路与濠东路人行横道,"113.433242,22.525827","113.438362,22.52924",666,80,29.97
104,2023-03-07,22:37:16,中三二路与悦来南路交叉口,"113.371974,22.519177","113.374265,22.519394",238,39,21.96923076923077
105,2023-03-07,22:37:16,中三二路与民生路交叉口,"113.375752,22.519498","113.38199,22.519653",643,72,32.15
106,2023-03-07,22:37:16,中三二路与华柏路交叉口,"113.383365,22.519686","113.386675,22.519707",344,54,22.933333333333334
107,2023-03-07,22:37:16,中三二路与华苑大街交叉口,"113.388121,22.519578","113.389869,22.519423",183,48,13.725
108,2023-03-07,22:37:16,中三三路与兴中道交叉口,"113.390502,22.519369","113.392096,22.519219",167,42,14.314285714285715
109,2023-03-07,22:37:16,中三四路与库充大街人行横道,"113.392887,22.519152","113.396592,22.518856",385,52,26.653846153846157
110,2023-03-07,22:37:16,中三三路与兴中道交叉口,"113.39785,22.518781","113.399844,22.518576",206,44,16.854545454545455
111,2023-03-07,22:37:16,中三四路与起湾道交叉口,"113.399844,22.518576","113.402728,22.518351",301,60,18.06
112,2023-03-07,22:37:16,中三四路与东文路交叉口,"113.403307,22.518313","113.408221,22.517863",508,56,32.65714285714286
113,2023-03-07,22:37:17,中三四路与后塘路交叉口,"113.40982,22.518213","113.41795,22.520392",872,93,33.75483870967742
114,2023-03-07,22:37:17,中三五路与长江路,"113.418785,22.520625","113.426641,22.523204",861,93,33.329032258064515
115,2023-03-07,22:37:17,中山六路-上陂头路（T型口）,"113.428487,22.523968","113.432335,22.525481",433,49,31.812244897959182
116,2023-03-07,22:37:17,中三五路与濠东路人行横道,"113.433242,22.525827","113.438362,22.52924",666,81,29.599999999999998
117,2023-03-07,22:37:47,中三二路与悦来南路交叉口,"113.371974,22.519177","113.374265,22.519394",238,39,21.96923076923077
118,2023-03-07,22:37:47,中三二路与民生路交叉口,"113.375752,22.519498","113.38199,22.519653",643,72,32.15
119,2023-03-07,22:37:47,中三二路与华柏路交叉口,"113.383365,22.519686","113.386675,22.519707",344,54,22.933333333333334
120,2023-03-07,22:37:47,中三二路与华苑大街交叉口,"113.388121,22.519578","113.389869,22.519423",183,48,13.725
121,2023-03-07,22:37:47,中三三路与兴中道交叉口,"113.390502,22.519369","113.392096,22.519219",167,42,14.314285714285715
122,2023-03-07,22:37:47,中三四路与库充大街人行横道,"113.392887,22.519152","113.396592,22.518856",385,52,26.653846153846157
123,2023-03-07,22:37:48,中三三路与兴中道交叉口,"113.39785,22.518781","113.399844,22.518576",206,44,16.854545454545455
124,2023-03-07,22:37:48,中三四路与起湾道交叉口,"113.399844,22.518576","113.402728,22.518351",301,60,18.06
125,2023-03-07,22:37:48,中三四路与东文路交叉口,"113.403307,22.518313","113.408221,22.517863",508,56,32.65714285714286
126,2023-03-07,22:37:48,中三四路与后塘路交叉口,"113.40982,22.518213","113.41795,22.520392",872,93,33.75483870967742
127,2023-03-07,22:37:48,中三五路与长江路,"113.418785,22.520625","113.426641,22.523204",861,93,33.329032258064515
128,2023-03-07,22:37:48,中山六路-上陂头路（T型口）,"113.428487,22.523968","113.432335,22.525481",433,49,31.812244897959182
129,2023-03-07,22:37:48,中三五路与濠东路人行横道,"113.433242,22.525827","113.438362,22.52924",666,81,29.599999999999998
130,2023-03-07,22:38:19,中三二路与悦来南路交叉口,"113.371974,22.519177","113.374265,22.519394",238,39,21.96923076923077
131,2023-03-07,22:38:19,中三二路与民生路交叉口,"113.375752,22.519498","113.38199,22.519653",643,72,32.15
132,2023-03-07,22:38:19,中三二路与华柏路交叉口,"113.383365,22.519686","113.386675,22.519707",344,54,22.933333333333334
133,2023-03-07,22:38:19,中三二路与华苑大街交叉口,"113.388121,22.519578","113.389869,22.519423",183,48,13.725
134,2023-03-07,22:38:19,中三三路与兴中道交叉口,"113.390502,22.519369","113.392096,22.519219",167,42,14.314285714285715
135,2023-03-07,22:38:19,中三四路与库充大街人行横道,"113.392887,22.519152","113.396592,22.518856",385,52,26.653846153846157
136,2023-03-07,22:38:19,中三三路与兴中道交叉口,"113.39785,22.518781","113.399844,22.518576",206,44,16.854545454545455
137,2023-03-07,22:38:19,中三四路与起湾道交叉口,"113.399844,22.518576","113.402728,22.518351",301,60,18.06
138,2023-03-07,22:38:19,中三四路与东文路交叉口,"113.403307,22.518313","113.408221,22.517863",508,53,34.505660377358495
139,2023-03-07,22:38:20,中三四路与后塘路交叉口,"113.40982,22.518213","113.41795,22.520392",872,97,32.36288659793814
140,2023-03-07,22:38:20,中三五路与长江路,"113.418785,22.520625","113.426641,22.523204",861,93,33.329032258064515
141,2023-03-07,22:38:20,中山六路-上陂头路（T型口）,"113.428487,22.523968","113.432335,22.525481",433,49,31.812244897959182
142,2023-03-07,22:38:20,中三五路与濠东路人行横道,"113.433242,22.525827","113.438362,22.52924",666,81,29.599999999999998
143,2023-03-07,22:38:50,中三二路与悦来南路交叉口,"113.371974,22.519177","113.374265,22.519394",238,39,21.96923076923077
144,2023-03-07,22:38:50,中三二路与民生路交叉口,"113.375752,22.519498","113.38199,22.519653",643,71,32.60281690140845
145,2023-03-07,22:38:50,中三二路与华柏路交叉口,"113.383365,22.519686","113.386675,22.519707",344,54,22.933333333333334
146,2023-03-07,22:38:50,中三二路与华苑大街交叉口,"113.388121,22.519578","113.389869,22.519423",183,46,14.321739130434782
147,2023-03-07,22:38:50,中三三路与兴中道交叉口,"113.390502,22.519369","113.392096,22.519219",167,43,13.981395348837209
148,2023-03-07,22:38:50,中三四路与库充大街人行横道,"113.392887,22.519152","113.396592,22.518856",385,52,26.653846153846157
149,2023-03-07,22:38:50,中三三路与兴中道交叉口,"113.39785,22.518781","113.399844,22.518576",206,44,16.854545454545455
150,2023-03-07,22:38:51,中三四路与起湾道交叉口,"113.399844,22.518576","113.402728,22.518351",301,60,18.06
151,2023-03-07,22:38:51,中三四路与东文路交叉口,"113.403307,22.518313","113.408221,22.517863",508,56,32.65714285714286
152,2023-03-07,22:38:51,中三四路与后塘路交叉口,"113.40982,22.518213","113.41795,22.520392",872,93,33.75483870967742
153,2023-03-07,22:38:51,中三五路与长江路,"113.418785,22.520625","113.426641,22.523204",861,93,33.329032258064515
